Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BIAS_6_L1,BIAS_24_L1,RDP_L1,RDP_L2,RDP_L3
2018/1/29,2853.530029,3573830000,2848.464014,2780.662512,2889.624861,2671.700163,75.40255015,2818.360924,2770.913258,47.44766687,42.91376781,4.533899056,-0.673197433,0.268751726,1.259626108,3.221640986,0.666666667,0.666666667,15.51674156,74.15811708,91.38603903,3.831558842,-19.34008789,2872.870117,1.204555666,4.186557651,1.184119651,0.06026209,-0.05599757
2018/1/30,2822.429932,3990650000,2845.124023,2788.103503,2886.633601,2689.573406,44.36482204,2818.986926,2774.729307,44.25761805,43.18253786,1.075080189,-1.089881562,-0.762802913,-0.006231948,1.883060522,0.583333333,0.666666667,40.4686539,32.60271738,68.92027815,1.982608214,-31.10009766,2853.530029,0.268751726,3.221640986,-0.673197433,1.184119651,0.06026209
2018/1/31,2823.810059,4261280000,2842.378027,2794.503503,2884.479699,2704.527308,41.36816331,2819.728946,2778.364919,41.36402733,42.81883575,-1.454808425,0.048898537,-0.625063847,-0.068180996,1.713638011,0.583333333,0.708333333,46.58629883,21.59180918,42.78421455,1.348414655,1.380126953,2822.429932,-0.762802913,1.883060522,-1.089881562,-0.673197433,1.184119651
2018/2/1,2821.97998,3938450000,2838.924023,2799.9495,2882.420492,2717.478507,41.25647526,2820.075259,2781.595664,38.47959501,41.9509876,-3.471392597,-0.064808825,-0.59874963,-0.266947378,1.43556011,0.583333333,0.666666667,52.76312459,0,18.06484219,1.640964259,-1.830078125,2823.810059,-0.625063847,1.713638011,0.048898537,-1.089881562,-0.673197433
2018/2/2,2762.129883,4301130000,2816.775977,2801.856494,2878.791619,2724.92137,23.79017136,2811.160586,2780.153754,31.00683147,39.76215638,-8.75532491,-2.120854792,-2.264412126,-2.265766519,-0.826530751,0.5,0.625,100,0,7.197269728,-1.442615856,-59.85009766,2821.97998,-0.59874963,1.43556011,-0.064808825,0.048898537,-1.089881562
2018/2/5,2648.939941,5283460000,2775.857959,2797.145996,2896.230101,2698.061891,0.608815712,2786.203564,2770.434213,15.76935096,34.96359529,-19.19424434,-4.09792248,-5.015174875,-5.856975037,-4.855467367,0.5,0.625,100,0,0,-5.328394847,-113.1899414,2762.129883,-2.264412126,-0.826530751,-2.120854792,-0.064808825,0.048898537
2018/2/6,2695.139893,5891660000,2750.399951,2794.517493,2901.205301,2687.829684,18.76553861,2772.193768,2764.856856,7.336912462,29.43825873,-22.10134626,1.744092059,-2.435017914,-3.887227074,-3.195088216,0.5,0.625,79.36859067,20.63140933,6.877136442,-4.097788644,46.19995117,2648.939941,-5.015174875,-4.855467367,-4.09792248,-2.120854792,-0.064808825
2018/2/7,2681.659912,4626570000,2721.969922,2791.035986,2907.257538,2674.814435,20.16701677,2758.265482,2758.694119,-0.428636508,23.46487968,-23.89351619,-0.500158842,-2.091440387,-3.935980053,-3.633980909,0.416666667,0.583333333,85.38831554,14.61168446,11.74769793,-5.341039974,-13.47998047,2695.139893,-2.435017914,-3.195088216,1.744092059,-4.09792248,-2.120854792
2018/2/8,2581,5305440000,2673.773926,2782.674487,2929.930532,2635.418443,13.7823921,2730.99387,2745.531592,-14.53772186,15.86435937,-30.40208123,-3.753641976,-4.353382475,-6.823888968,-7.052215988,0.333333333,0.541666667,100,0,11.74769793,-9.09186594,-100.6599121,2681.659912,-2.091440387,-3.633980909,-0.500158842,1.744092059,-4.09792248
2018/2/9,2619.550049,5680070000,2645.257959,2775.273987,2938.802273,2611.745701,22.78655004,2713.848667,2736.199626,-22.35095895,8.221295706,-30.57225466,1.493609021,-1.695723469,-4.807931912,-5.488655737,0.416666667,0.541666667,86.79205353,15.87662762,10.16277069,-7.682358213,38.55004883,2581,-4.353382475,-7.052215988,-3.753641976,-0.500158842,1.744092059
2018/2/12,2656,4055790000,2646.669971,2768.761987,2940.206095,2597.31788,34.77463228,2704.948872,2730.258913,-25.31004081,1.515028403,-26.82506921,1.391458475,0.33817671,-2.944787061,-4.041273546,0.416666667,0.541666667,74.30363864,30.88834146,15.58832303,-6.454169235,36.44995117,2619.550049,-1.695723469,-5.488655737,1.493609021,-3.753641976,-0.500158842
2018/2/13,2662.939941,3472870000,2640.22998,2763.087988,2940.548511,2585.627466,52.88922165,2698.485959,2725.272322,-26.78636271,-4.145249819,-22.64111289,0.261292975,0.511753715,-2.065120165,-3.662410977,0.416666667,0.541666667,71.92588875,34.00280025,26.92258978,-7.30733264,6.939941406,2656,0.33817671,-4.041273546,1.391458475,1.493609021,-3.753641976
