Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BBands_down_L1,BBands_down_L2,BIAS_6_L1,BIAS_24_L1
2019/1/2,2510.030029,3733160000,2491.830029,2564.443518,2777.295414,2351.591622,70.25102127,2510.358823,2571.16281,-60.803987,-61.69598738,0.89200038,0.126849693,1.687546986,0.759569209,-3.169893624,0.416666667,0.458333333,47.01805275,100,82.95740948,-5.3011842,3.179931641,2506.850098,2349.464624,2353.108648,2.203327933,-3.545931227
2019/1/3,2447.889893,3822860000,2487.868018,2547.319507,2738.738906,2355.900107,71.29586159,2500.748218,2562.031483,-61.28326446,-61.61344279,0.330178337,-2.47567304,-1.47380488,-1.232501669,-5.210132201,0.416666667,0.416666667,67.67639131,60.90092277,80.2494084,-5.848576375,-62.14013672,2510.030029,2351.591622,2349.464624,1.687546986,-3.169893624
2019/1/4,2531.939941,4213410000,2496.48999,2538.913501,2717.071054,2360.755948,66.4971354,2505.546945,2559.80248,-54.25553476,-60.14186119,5.886326427,3.433571464,1.471882289,2.206862483,-1.619176766,0.5,0.416666667,27.32973671,100,86.96697426,-0.54989514,84.05004883,2447.889893,2355.900107,2351.591622,-1.47380488,-5.210132201
2019/1/7,2549.689941,4104710000,2509.27998,2531.6005,2694.748687,2368.452314,65.90522786,2512.338175,2559.053403,-46.71522762,-57.45653447,10.74130685,0.701043485,1.769540184,2.911156612,-0.626843928,0.5,0.458333333,0,100,86.96697426,0.138641304,17.75,2531.939941,2360.755948,2355.900107,1.471882289,-1.619176766
2019/1/8,2574.409912,4083030000,2522.791943,2528.666992,2686.432062,2370.901923,70.81940374,2521.887673,2560.190922,-38.30324884,-53.62587735,15.32262851,0.969528502,2.153652233,3.673705932,0.64020185,0.583333333,0.458333333,0,100,100,2.690507715,24.7199707,2549.689941,2368.452314,2360.755948,1.769540184,-0.626843928
2019/1/9,2584.959961,4052480000,2537.77793,2526.028992,2678.072572,2373.985412,69.29685521,2531.591102,2562.025666,-30.43456357,-48.98761459,18.55305102,0.409804545,2.045145935,3.689558685,1.391870402,0.666666667,0.458333333,0,100,100,4.763682015,10.55004883,2574.409912,2370.901923,2368.452314,2.153652233,0.64020185
2019/1/10,2596.639893,3704500000,2567.52793,2524.021985,2671.144924,2376.899046,70.53435609,2541.598608,2564.589682,-22.99107415,-43.7883065,20.79723236,0.451841878,1.92541458,3.535043562,2.022441732,0.75,0.5,0,100,100,7.44923764,11.67993164,2584.959961,2373.985412,2370.901923,2.045145935,1.391870402
2019/1/11,2596.26001,3434490000,2580.391943,2521.281482,2660.674958,2381.888006,99.74526714,2550.008055,2566.935633,-16.92757794,-38.41616079,21.48858285,-0.014629784,0.930810771,2.683438377,2.174265981,0.75,0.5,0.154713338,99.7446166,99.9148722,10.42745532,-0.379882813,2596.639893,2376.899046,2373.985412,1.92541458,2.022441732
2019/1/14,2582.610107,3664450000,2586.975977,2517.884985,2647.480825,2388.289146,82.17981437,2555.023755,2568.096705,-13.07294972,-33.34751857,20.27456886,-0.525752517,0.071624982,1.75818911,1.721265693,0.666666667,0.5,5.713853903,90.56821166,96.77094275,4.656569215,-13.64990234,2596.26001,2381.888006,2376.899046,0.930810771,2.174265981
2019/1/15,2610.300049,3572330000,2594.154004,2518.40249,2649.380303,2387.424678,84.17747136,2563.5278,2571.222878,-7.695078158,-28.21703049,20.52195233,1.072168862,0.750202711,2.440634974,2.858175115,0.666666667,0.5,0,100,96.77094275,4.88060522,27.68994141,2582.610107,2388.289146,2381.888006,0.071624982,1.721265693
2019/1/16,2616.100098,3863770000,2600.382031,2521.910498,2659.254101,2384.566895,79.88554227,2571.615846,2574.547117,-2.931270868,-23.15987857,20.2286077,0.222198549,0.703992963,2.232409748,3.121738063,0.75,0.541666667,0,100,96.85607055,5.244317907,5.800048828,2610.300049,2387.424678,2388.289146,0.750202711,2.858175115
2019/1/17,2635.959961,3772270000,2608.246045,2526.4005,2672.230792,2380.570209,82.25415962,2581.514941,2579.096216,2.418724176,-18.04415802,20.46288219,0.759140038,1.137556759,2.577212938,3.930369037,0.75,0.541666667,0,100,100,5.150282556,19.85986328,2616.100098,2384.566895,2387.424678,0.703992963,3.121738063
2019/1/18,2670.709961,3986730000,2623.136035,2534.588,2692.979258,2376.196743,86.26276824,2595.237251,2585.88242,9.354831698,-12.56436008,21.91919177,1.318305305,1.987784935,3.390760001,5.26560807,0.75,0.583333333,0,100,100,6.401514315,34.75,2635.959961,2380.570209,2384.566895,1.137556759,3.930369037
2019/1/22,2632.899902,3908030000,2633.193994,2542.862,2703.624837,2382.099162,63.12694945,2601.031505,2589.365196,11.66630919,-7.718226221,19.38453542,-1.415730616,0.309991985,1.322278072,3.719204835,0.75,0.583333333,16.96887487,57.08272252,85.69424084,7.557938383,-37.81005859,2670.709961,2376.196743,2380.570209,1.987784935,5.26560807
2019/1/23,2638.699951,3335610000,2638.873975,2553.965991,2708.888796,2399.043186,71.29293918,2606.826651,2593.019623,13.8070284,-3.413175297,17.2202037,0.220291277,0.174187663,1.19900538,3.789663222,0.75,0.625,14.36585582,63.66621681,73.58297978,4.216530101,5.800048828,2632.899902,2382.099162,2376.196743,0.309991985,3.719204835
2019/1/24,2642.330078,3433250000,2644.119971,2568.52749,2696.916176,2440.138804,64.8769093,2612.288717,2596.672249,15.61646778,0.392753319,15.22371446,0.137572555,0.10911691,1.039074319,3.768895599,0.75,0.625,20.45101882,67.78668558,62.84520831,3.633388328,3.630126953,2638.699951,2399.043186,2382.099162,0.174187663,3.789663222
