Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BIAS_24_L1,BBands_up_L1
2018-01-02,24824.009765625,341130000,24780.250390625,24575.00517578125,25036.965216286742,24113.045135275755,55.95236104841362,24691.809161025587,24421.549461735045,270.2596992905419,294.3313195743008,-24.071620283758875,0.4239173384893665,0.1942386645280455,0.3424091828419664,1.3601655861038429,0.5,0.625,4.0576000751407415,88.587279572023,62.86242652400771,0.9704124807153628,104.7890625,24719.220703125,1.146232882049323,25015.57948622342
2018-01-03,24922.6796875,456790000,24815.544140625,24606.63662109375,25072.834645029183,24140.438597158314,70.03095141972817,24727.327703560117,24458.67021919912,268.657484360996,289.19655253163984,-20.539068170643816,0.39747777577671184,0.4785161072714264,0.6009490636234338,1.5753818464610128,0.5833333333333334,0.625,0.0,100.0,62.86242652400771,1.6892785187378758,98.669921875,24824.009765625,1.3601655861038429,25036.965216286742
2018-01-04,25075.130859375,403280000,24875.71015625,24651.3611328125,25117.131808413586,24185.590457211416,79.08232165368608,24780.835881377792,24504.333970323256,276.5019110545327,286.6576242362184,-10.155713181685712,0.6116965502367792,0.8702036737166388,1.0723755304948817,2.000211870361936,0.5833333333333334,0.625,0.0,100.0,96.19575985734105,1.71748777560788,152.451171875,24922.6796875,1.5753818464610128,25072.834645029183
2018-01-05,25295.869140625,358020000,24967.38203125,24709.10908203125,25193.43241847792,24224.785745584577,84.39759796584494,24860.071767415826,24562.96620516042,297.1055622554013,288.747211840055,8.358350415346308,0.8803075943568652,1.4035764581359669,1.7899131644936166,2.7199316748876807,0.5833333333333334,0.625,0.0,100.0,100.00000000000006,2.031566128647762,220.73828125,25075.130859375,2.000211870361936,25117.131808413586
2018-01-08,25283.0,341390000,25080.137890625,24762.68505859375,25252.001789313486,24273.368327874014,81.46976934135769,24925.13764935185,24616.302041815205,308.83560753664636,292.76489097937326,16.07071655727316,-0.05087447501193879,1.0512195498301735,1.5582291766348528,2.4853561589201214,0.5833333333333334,0.625,2.2317134302475243,97.76828656975249,99.25609552325086,2.1339338914753734,-12.869140625,25295.869140625,2.7199316748876807,25193.43241847792
2018-01-09,25385.80078125,333490000,25192.49609375,24815.51708984375,25333.524658738348,24297.509520949152,98.14115277303671,24996.008900413104,24673.301948440007,322.70695197310124,298.75330317811887,23.95364879498237,0.4066004083771705,1.0135619250434549,1.7466686409271477,2.7119741131652004,0.6666666666666666,0.625,0.0,100.0,99.25609552325086,2.66574881842837,102.80078125,25283.0,2.4853561589201214,25252.001789313486
2018-01-10,25369.130859375,341470000,25281.786328125,24864.67216796875,25396.717883026166,24332.62645291134,95.11103927590106,25053.41227871493,24724.844830731483,328.56744798345244,304.7161321391856,23.85131584426688,-0.06566632275516962,0.5836016813500053,1.4809467118374675,2.4392779162485776,0.5833333333333334,0.625,2.500813093888171,97.49918690611185,98.4224911586215,2.3679886688231546,-16.669921875,25385.80078125,2.7119741131652004,25333.524658738348
2018-01-11,25574.73046875,346830000,25381.70625,24918.16865234375,25506.862310076947,24329.474994610548,95.84617328301722,25133.61507718187,24787.799322436556,345.81575474530837,312.93605666041015,32.879698084898216,0.8104322158873724,0.9637356297355923,2.0242746531394658,3.020953888542276,0.6666666666666666,0.6666666666666666,0.0,100.0,99.16639563537069,3.3152941527348845,205.599609375,25369.130859375,2.4392779162485776,25396.717883026166
2018-01-12,25803.189453125,376390000,25483.1703125,24979.056640625,25661.874445024918,24296.238836225082,96.24727676954151,25236.626519634658,24863.013406191254,373.61311344339987,325.07146801700816,48.541645426391824,0.893299675842747,1.3799962477810537,2.5752280612229432,3.66429308467515,0.75,0.6666666666666666,0.0,100.0,99.16639563537069,4.271274169183098,228.458984375,25574.73046875,3.020953888542276,25506.862310076947
2018-01-16,25792.859375,606520000,25585.1421875,25043.2666015625,25776.71658981249,24309.816613312505,93.08701762703829,25322.200805075485,24931.890885362274,390.30991971320685,338.11915835624785,52.190761356959065,-0.04003411339426078,1.0106770711827693,2.1893532405750795,3.3695190043026804,0.6666666666666666,0.625,0.9529867097183382,98.82680709195002,99.60893569731672,4.111351528116097,-10.330078125,25803.189453125,3.66429308467515,25661.874445024918
2018-01-17,26115.650390625,522720000,25731.112109375,25116.462109375,25962.548023911368,24270.376194838635,96.95483131959513,25444.2699720831,25019.576774640995,424.6931974421059,355.43396617341944,69.25923126868646,1.2514743361019856,1.7219667450060956,3.0334345849152458,4.361740628307808,0.6666666666666666,0.625,0.0,100.0,99.60893569731672,5.146009551927548,322.791015625,25792.859375,3.3695190043026804,25776.71658981249
