DJI,DJI,GSPC,GSPC,HSI,HSI,N225,N225,TWII,TWII
187.95988,1.20107,19.83064,1.27871,330.00313,1.54983,239.75797,2.44122,206.27658,2.55156
58.36234,0.36218,13.77165,0.84794,656.80071,2.72953,219.82182,2.06834,66.71031,0.80601
445.38267,2.72876,46.94402,2.47885,263.89862,0.87716,734.07858,4.46192,87.24173,0.84549
197.35646,1.01326,26.36567,1.15862,212.46128,0.77656,470.30471,2.31169,60.61256,0.58054
146.35696,0.63079,20.25491,0.76288,583.84435,2.41102,315.96474,1.19413,120.47456,1.05582
471.68277,2.20747,39.58961,1.63152,423.4374,1.72043,523.32998,2.57823,79.07710,0.68854
387.83344,1.37439,43.92165,1.59280,718.77176,2.26523,291.02024,1.06042,114.31469,0.87856
339.65257,1.07177,55.04806,1.66818,310.2184,1.02784,327.36758,0.99761,105.78816,0.86324
532.65842,1.86381,73.50679,2.30500,183.57162,0.51816,339.74500,1.17343,214.06794,1.62970
