DJI,DJI,GSPC,GSPC,HSI,HSI,N225,N225,TWII,TWII
97.36186,0.68753,10.80709,0.70891,316.99494,1.23418,57.9599,0.54068,88.03672,0.95783
42.02807,0.2664,9.76079,0.58562,185.36583,0.62348,83.27729,0.65748,24.20609,0.2749
173.91531,1.02266,20.79437,1.02744,141.17223,0.46406,280.98247,1.67697,34.61155,0.29517
101.4298,0.4828,12.82378,0.5224,95.18977,0.31738,211.85292,0.90266,36.7029,0.31824
91.33102,0.38845,8.5625,0.32925,184.5437,0.6569,111.83787,0.47008,53.98127,0.47856
135.62741,0.59554,15.01903,0.54537,109.65874,0.40512,133.00594,0.5975,50.48,0.4194
213.42774,0.69064,18.69147,0.59991,224.35968,0.57885,200.30732,0.74738,48.20941,0.35893
157.5769,0.48383,18.23981,0.57288,233.55972,0.70745,236.8379,0.86566,80.56817,0.71636
163.95548,0.46453,18.17401,0.46329,144.02421,0.41899,162.66469,0.5296,88.64598,0.55347
