Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,MA_20_L1,MA_20_L2,BBands_up_L1
2011/1/3,9025.299805,5067400,8928.563867,8823.338916,8999.584804,8647.093028,87.98817932,8881.110617,8759.898688,121.2119284,118.0336223,3.178306162,0.588462577,1.151897706,1.626722951,2.706650873,0.666666667,0.75,0,100,100,2.7680946,52.79980469,8972.5,8807.185449,8789.760938,8964.648734
2011/1/4,8997.19043,5270400,8953.85,8837.978955,9020.791357,8655.166554,74.6176627,8898.969049,8777.475854,121.4931952,118.7255369,2.767658317,-0.311450873,0.639695656,1.140050772,2.155680995,0.583333333,0.708333333,10.95540044,82.88103437,94.29367812,2.0332509,-28.109375,9025.299805,8823.338916,8807.185449,8999.584804
2011/1/5,8846.30957,5796600,8949.841992,8845.104932,9017.238028,8672.971836,46.42907062,8890.867591,8782.574648,108.2929431,116.6390181,-8.346075036,-1.676977503,-1.002884522,-0.62827265,0.318901075,0.583333333,0.666666667,69.75998904,0,60.96034479,0.88484803,-150.8808594,8997.19043,8837.978955,8823.338916,9020.791357
2011/1/6,8883.209961,4362200,8944.901953,8851.573438,9019.16512,8683.981755,52.24900153,8889.689494,8790.029116,99.6603785,113.2432902,-13.58291169,0.417127508,-0.621191728,-0.265506356,0.614132423,0.583333333,0.666666667,55.37836171,20.6158681,34.49896749,0.627789307,36.90039063,8846.30957,8845.104932,8837.978955,9017.238028
2011/1/7,8782.719727,4500800,8906.945898,8854.76792,9014.361654,8695.174186,35.56950883,8873.232607,8789.487679,83.7449274,107.3436176,-23.59869023,-1.131237861,-1.515516951,-1.321939831,-0.561824641,0.5,0.625,100,0,6.871956032,-0.877722403,-100.4902344,8883.209961,8851.573438,8845.104932,9019.16512
2011/1/10,8817.879883,2885200,8865.461914,8858.832422,9010.103744,8707.561099,30.87997681,8864.716803,8791.590806,73.12599753,100.5000936,-27.37409608,0.400333352,-0.834692217,-0.851714166,-0.217163332,0.5,0.625,85.50575277,14.49424723,11.70337178,-0.910118176,35.16015625,8782.719727,8854.76792,8851.573438,9014.361654
2011/1/11,8931.360352,3573400,8852.295898,8868.378955,9012.485466,8724.272444,39.89945021,8874.969657,8801.944105,73.02555143,95.00518517,-21.97963374,1.286935978,0.618663943,0.358190639,0.958650183,0.583333333,0.666666667,38.72513104,61.27486896,25.25637206,0.792912226,113.4804688,8817.879883,8858.832422,8854.76792,9010.103744
2011/1/12,8965,3922200,8876.033984,8878.793457,9019.171416,8738.415498,46.57950171,8888.820479,8814.02232,74.79815905,90.96377995,-16.1656209,0.376646413,1.058722112,0.667665558,1.238220837,0.583333333,0.666666667,24.85769036,75.14230964,50.30380861,0.817452756,33.63964844,8931.360352,8868.378955,8858.832422,9012.485466
2011/1/13,8975.580078,3951000,8894.508008,8888.462451,9027.528953,8749.395949,69.57155572,8902.168109,8825.989561,76.17854835,88.00673363,-11.82818528,0.118015372,0.932852539,0.687709041,1.235397681,0.666666667,0.708333333,20.49621179,79.50378821,71.97365561,1.181638498,10.58007813,8965,8878.793457,8868.378955,9019.171416
2011/1/14,8972.509766,2756200,8932.466016,8896.19292,9035.897754,8756.488085,65.06300756,8912.989903,8836.84291,76.14699312,85.63478553,-9.487792403,-0.034207399,0.729737909,0.553475407,1.088688283,0.666666667,0.666666667,21.76190208,88.49229116,81.04612967,1.19733781,-3.0703125,8975.580078,8888.462451,8878.793457,9027.528953
2011/1/17,8925.089844,3579600,8953.908008,8904.011426,9031.251546,8776.771306,79.25205967,8914.851432,8843.37972,71.47171258,82.80217094,-11.33045836,-0.528502316,-0.068823727,0.006002831,0.467340782,0.583333333,0.625,41.31005386,73.82031404,80.60546447,0.192858787,-47.41992188,8972.509766,8896.19292,8888.462451,9035.897754
2011/1/18,8988,3723200,8965.235938,8912.021924,9039.231404,8784.812443,81.37582986,8926.105058,8854.092333,72.01272504,80.64428176,-8.63155672,0.704868605,0.31709033,0.696339787,1.065865174,0.583333333,0.625,15.37628522,100,87.43753507,0.17275007,62.91015625,8925.089844,8904.011426,8896.19292,9031.251546
2011/1/19,9086.019531,3935000,8989.439844,8923.298389,9068.892165,8777.704612,80.24945086,8950.707285,8871.272125,79.43515923,80.40245725,-0.967298021,1.090559983,1.120187968,1.736820135,2.022823535,0.583333333,0.625,0,100,91.27343801,0.672772405,98.01953125,8988,8912.021924,8904.011426,9039.231404
2011/1/20,9022.169922,3066400,8998.757813,8929.463379,9080.728997,8778.197761,60,8961.701536,8882.44974,79.25179656,80.17232511,-0.920528551,-0.702723664,0.303228282,0.99835063,1.209160656,0.583333333,0.583333333,21.05164869,76.1879268,92.06264227,0.277636584,-63.84960938,9086.019531,8923.298389,8912.021924,9068.892165
