Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG
23721.30078125,1801713100.0,23589.991796875,23390.44140625,24193.070825585826,22587.811986914174,65.53319130937551,23445.47133540108,23458.038660715218,-12.567325314139453,-85.226084180286,72.65875886614654,0.49252923683866495,0.7390496080386212,2.054442677742519,1.1529237616941717,0.5833333333333334,0.5,4.369339285890531,94.48664939723025,85.80347729368418,2.030614293671069,116.26171875,23605.0390625
23721.3203125,2585193100.0,23664.387890625,23405.07646484375,24221.197720039945,22588.955209647556,70.80031106089793,23487.909639570145,23477.54100529187,10.36863427827484,-66.10714048857383,76.47577476684867,8.233633635908392e-05,0.4634973167348848,1.801425539108657,1.20388731418809,0.6666666666666666,0.5416666666666666,4.367694327195444,92.10121581541738,90.80891493279391,3.0114435993305997,0.01953125,23721.30078125
23485.41015625,2617976900.0,23606.833984375,23387.7189453125,24179.976377161332,22595.461513463666,55.90556921251165,23487.525103674736,23478.12390536284,9.401198311894404,-51.00547272848018,60.40667104037458,-0.994506853506323,-0.6310594439146371,0.49612131446626334,0.2869089171828569,0.6666666666666666,0.5416666666666666,24.236492421675294,34.52197369999867,73.70327963754893,3.5945839582276524,-235.91015625,23721.3203125
23681.259765625,2181069500.0,23642.866015625,23371.64990234375,24123.393768328915,22619.906036358585,45.026304164491386,23517.33043628247,23493.171006123,24.159430159470503,-35.97249215089004,60.131922310360544,0.8339203278631264,0.26258884235159863,0.9398910694676502,1.0667917303237062,0.75,0.5833333333333334,7.741669106688731,79.08487727702995,68.56935559748216,4.850029617907376,195.849609375,23485.41015625
23835.529296875,2011642900.0,23688.9640625,23361.04287109375,24077.79656641511,22644.28917577239,70.73982558139534,23566.284107142863,23518.53087951204,47.75322763082295,-19.22734819454744,66.98057582537038,0.6514414046246517,0.6781537204531287,1.2366662384570715,1.6924103135430055,0.75,0.5833333333333334,0.0,100.0,71.20228365900971,4.3943110114103465,154.26953125,23681.259765625
23919.94921875,2334809800.0,23728.69375,23382.748828125,24140.533246967727,22624.964409282275,70.0138528224505,23620.694124313188,23548.265571307445,72.42855300574229,-0.896167954489488,73.32472096023177,0.3541768291508761,0.8112440915352157,1.307178477120001,1.9635237296078052,0.75,0.625,0.0,100.0,93.02829242567681,3.4750667788131095,84.419921875,23835.529296875
24026.4609375,1414586900.0,23789.721875,23407.8458984375,24216.91240530886,22598.77939156614,69.63756931631366,23683.11978788039,23583.68745028467,99.43233759572104,19.169533155552624,80.26280444016841,0.44528405046323943,1.0435527239419755,1.53685442311241,2.382291479550041,0.75,0.625,0.0,100.0,100.00000000000017,2.6395914690699884,106.51171875,23919.94921875
24215.970703125,1393185700.0,23935.833984375,23453.01748046875,24337.08330084288,22568.951660094615,75.59055277234947,23765.096851764178,23630.523246791363,134.5736049728148,42.25034751900507,92.32325745380973,0.7887543909108026,1.4886671964964877,2.0207389178910384,3.1507658549457864,0.8333333333333334,0.625,0.0,100.0,100.00000000000017,3.7811476482208826,189.509765625,24026.4609375
24112.599609375,1462960700.0,24022.101953125,23496.1875,24421.697597680573,22570.677402319427,87.60436842610659,23818.558814473537,23666.232606982743,152.32620749079433,64.26551951336293,88.0606879774314,-0.42687156760005607,0.6146583548427084,1.3137562129621083,2.6986095924503766,0.75,0.5833333333333334,11.71634257783445,85.85044125470863,95.28348041823638,3.2688708577313563,-103.37109375,24215.970703125
24350.91015625,1754036200.0,24125.178125,23562.34052734375,24534.84553456597,22589.835520121527,88.20493277440146,23900.459020900686,23716.949462484023,183.5095584166629,88.11432729402294,95.39523112263997,0.9883237425065718,1.138048495241221,2.1085116681734997,3.5546270378631695,0.75,0.625,0.0,100.0,95.28348041823638,2.430177520820962,238.310546875,24112.599609375
24103.51953125,1716809500.0,24161.8921875,23633.99150390625,24538.62360560952,22729.359402202983,63.82085895997308,23931.699099415964,23745.58428239261,186.11481702335368,107.71442523988911,78.40039178346457,-1.0159399521931372,-0.07482443867703656,0.8588364311603819,2.397520577046424,0.75,0.5833333333333334,28.583549971114962,71.41645002888504,85.75563042786473,2.5633690843754566,-247.390625,24350.91015625
23738.490234375,2945751300.0,24104.298046875,23691.6240234375,24450.16477252619,22933.08327434881,42.74235504942482,23901.97465864043,23745.058797354268,156.9158612861611,117.55471244914351,39.36114883701758,-1.5144232210642217,-1.464572654584198,-0.7147950378774015,0.7708099696572023,0.6666666666666666,0.5833333333333334,70.75908976025418,8.54632052056081,59.98759018314879,0.5653503538869646,-365.029296875,24103.51953125
23951.16015625,1632662200.0,24051.3359375,23747.571484375,24396.333886326138,23098.80908242386,47.22399829497016,23909.541658272672,23760.325564679875,149.21609359279682,123.88698867787419,25.329104914922638,0.8958864686644604,-0.5299892062994186,0.09449723437087389,1.5475201391794284,0.6666666666666666,0.625,46.18717504332756,34.72615998902918,38.229643512825184,0.9689998753427866,212.669921875,23738.490234375
24352.580078125,1843495600.0,24099.33203125,23809.3689453125,24440.293231378113,23178.44465924689,54.355634600965985,23977.70141517303,23804.19626937951,173.50514579351875,133.8106201010031,39.69452569251564,1.675993643966555,1.0415797062831313,1.548827751740757,3.0083865237275735,0.6666666666666666,0.6666666666666666,0.0,100.0,47.757493503196834,2.661149368200877,401.419921875,23951.16015625
