Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BIAS_24_L1
2011-01-03,23436.05078,1066929900,22985.87852,23078.8834,23615.253090000002,22542.51371,67.15104299,23029.134169999998,23120.16289,-91.02871735,-134.1562269,43.12750957,1.898797707,1.914644435,2.118725082,1.550210453,0.583333333,0.541666667,0.0,100.0,90.41715288,0.507948325,436.7109375,22999.33984,-0.273425297
2011-01-04,23668.48047,1330693400,23138.98047,23089.868459999998,23663.7762,22515.96071,71.19736113,23127.49514,23160.77901,-33.28386554,-113.98175459999999,80.6978891,0.991761324,2.4625267980000003,3.0427143689999996,2.411049314,0.583333333,0.583333333,0.0,100.0,96.39086578,1.01271434,232.4296875,23436.05078,1.550210453
2011-01-05,23757.82031,1277768100,23366.19844,23111.7335,23748.95381,22474.51318,80.15704043,23224.468240000002,23205.00429,19.46395593,-87.29261253,106.7565685,0.377463369,2.218815925,3.1388729410000002,2.6880885410000004,0.666666667,0.583333333,0.0,100.0,100.0,3.405696611,89.33984375,23668.48047,2.411049314
2011-01-06,23786.30078,1147689000,23529.59844,23139.16406,23839.788940000002,22438.53919,100.0,23310.904019999998,23248.063290000002,62.84073144,-57.26594373,120.10667520000001,0.11987829,1.49377909,2.84671753,2.667280513,0.75,0.625,0.0,100.0,100.0,4.929782366,28.48046875,23757.82031,2.6880885410000004
2011-01-07,23686.63086,1287345900,23667.05664,23152.08809,23882.46364,22421.71253,89.12695623,23368.70815,23280.549769999998,88.15837397,-28.18108019,116.33945420000002,-0.41902237299999995,0.555534159,2.058411987,2.1568263169999997,0.666666667,0.583333333,8.558514742,91.44148526,97.14716175,4.278176025,-99.66992188,23786.30078,2.667280513
2011-01-10,23527.25977,1087090700,23685.298440000002,23173.8251,23921.48781,22426.16238,75.23513079,23393.1007,23298.82459,94.27611635,-3.6896408839999997,97.96575723,-0.672831416,-0.492719474,1.049476294,1.455174776,0.666666667,0.541666667,22.24348439,77.75651561,89.73266696,3.923214567,-159.3710938,23686.63086,2.1568263169999997
2011-01-11,23760.33984,1171815200,23703.670309999998,23203.25205,23993.40067,22413.103430000003,69.24858681,23449.59903,23333.0109,116.58813020000001,20.36591334,96.2222169,0.99068094,0.26388310800000003,1.771358871,2.379366115,0.666666667,0.583333333,2.22922886,96.82240667,88.67346918,3.3334137439999996,233.0800781,23527.25977,1.455174776
2011-01-12,24125.60938,1592876200,23777.22813,23251.38701,24137.32722,22365.4468,73.43743741,23553.600619999997,23391.7219,161.8787233,48.66847534,113.21024799999999,1.5373076890000001,1.4789937819999999,2.9389221360000004,3.787801263,0.666666667,0.625,0.0,100.0,91.52630743,4.688266608,365.2695313,23760.33984,2.379366115
2011-01-13,24238.98047,2323232000,23867.764059999998,23297.45557,24282.64179,22312.26934,74.0762531,23659.043680000002,23454.4818,204.5618824,79.84715675,124.71472560000001,0.469920125,1.61310726,2.9336772360000003,4.124186423,0.75,0.625,0.0,100.0,98.94080222,5.8333470489999995,113.37109380000001,24125.60938,3.787801263
2011-01-14,24283.23047,1531630800,23987.08398,23340.05762,24414.35071,22265.76453,74.47901233,23755.07241,23515.870590000002,239.20182889999998,111.7180912,127.4837377,0.182557183,1.4463879469999998,2.518800452,4.092426653,0.833333333,0.666666667,0.0,100.0,100.0,7.34470779,44.25,24238.98047,4.124186423
