Date,Close,Volume,MA_5,Ma20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS6,BIAS12,BIas24,psy12,psy24,W%R,%K,%D,PROC,MO,LAG
2006-01-03,14944.769531,250383000.0,15030.381836,15058.72294925,15290.245029984073,14827.200868515925,16.703102876709323,15044.271016235223,15009.882151733518,34.38886450170503,64.37690060436533,-29.988036102660303,0.4593833630331729,-0.7370635950493936,-0.9038770255170111,-0.7289949557167741,0.5,0.5,80.1907891108593,19.80921088914069,9.34827235797541,0.014384451877726495,68.33984299999975,14876.429688
2006-01-04,15200.05957,565220200.0,15033.6777344,15058.706933599999,15290.187795251044,14827.226071948953,51.38718443756524,15068.238486045188,15023.969367901407,44.26911814378036,60.35534411224834,-16.08622596846798,1.7082233250265273,0.9389819411101575,0.6644196660195034,0.9388218384224414,0.5,0.5,6.1915816434385675,93.80841835656143,37.87254308190083,1.4943637964138679,255.29003899999952,14944.769531
2006-01-05,15271.129883000001,514294600.0,15067.5957032,15064.322412099998,15310.980602164114,14817.664222035883,56.2370686062761,15099.45254711516,15042.277554205006,57.17499291015338,59.71927387182935,-2.544280961675973,0.46756601625609284,1.3127676506570303,1.016841205307029,1.3428142800934868,0.5,0.5416666666666666,0.0,100.0,71.20587641523416,1.4085269732425683,71.07031300000199,15200.05957
2006-01-06,15344.44043,397727400.0,15127.3658204,15082.013916,15355.688366431536,14808.339465568464,67.52221894940972,15137.142990635904,15064.659989449077,72.4830011868271,62.272019334828904,10.210981851998191,0.4800597438543777,1.526452040085387,1.326045164504829,1.7147664562058145,0.5833333333333334,0.5833333333333334,0.0,100.0,97.93613945218726,2.0933788850393342,73.31054699999913,15271.129883000001
2006-01-09,15547.429688,581542400.0,15261.565820400001,15102.63789065,15446.322789932368,14758.95299136763,79.86572502969305,15200.264020999612,15100.420707860258,99.843313139354,69.78627809573393,30.05703504362006,1.3228847211862753,2.3033792958026784,2.460933834748916,2.9240543153224303,0.5833333333333334,0.5833333333333334,0.0,100.0,100.00000000000011,2.4009924885940377,202.9892579999996,15344.44043
2006-01-10,15569.910156,581719000.0,15386.5939454,15137.17539065,15522.596832281995,14751.753949018004,100.0,15257.132657153517,15135.197704018756,121.9349531347616,80.21601310353947,41.71894003122213,0.14459282628144562,1.6780143813407522,2.3837583875168886,2.9679211108612793,0.6666666666666666,0.5833333333333334,0.0,100.0,100.00000000000011,2.6418072713313285,22.480467999999746,15547.429688
2006-01-11,15650.879883000001,576574400.0,15476.758008,15174.193896499997,15607.22935657379,14741.158436426205,100.0,15317.709153437592,15173.396383943294,144.31276949429775,93.03536438169114,51.277405112606615,0.5200397830735017,1.4272788327190837,2.6745655440256786,3.3632467748325414,0.6666666666666666,0.625,0.0,100.0,100.00000000000011,2.821418522061074,80.96972700000151,15569.910156
2006-01-12,15719.370116999999,503136400.0,15566.406054800002,15210.9423828,15697.5861264258,14724.2986391742,100.0,15379.503147831809,15213.838882688233,165.6642651435759,107.56114453406812,58.10312060950778,0.43761267425220796,1.30292091369874,2.822113793081709,3.607802586008794,0.75,0.6666666666666666,0.0,100.0,100.00000000000011,3.53590497991428,68.49023399999714,15650.879883000001
2006-01-13,15787.969727000002,380816800.0,15655.1119142,15253.209863299999,15786.351110945989,14720.068615654009,100.0,15442.344160011531,15256.367093377992,185.97706663353893,123.2443289539623,62.73273767957663,0.43640177366785604,1.1833137801625422,2.9317245912270256,3.8736639524205283,0.75,0.6666666666666666,0.0,100.0,100.00000000000011,3.9805477094016917,68.59961000000294,15719.370116999999
2006-01-16,15777.719727000002,393659200.0,15701.169922000001,15293.282861349999,15858.303660127314,14728.262062572683,97.7411926749933,15493.94040108668,15294.985806979621,198.95459410705917,138.38638198458167,60.56821212247749,-0.06492285060865571,0.6517997762285787,2.4883866646762844,3.551150133826914,0.75,0.6666666666666666,1.1244706278886762,98.2565363299209,99.41884544330708,4.477554515988155,-10.25,15787.969727000002
