Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,MA_20_L1,BIAS_24_L1
2016-01-04,21327.119140625,1712094800.0,21808.581640625,21803.65205078125,22349.47365376836,21257.830447794142,18.51555618377482,21817.193019258197,21942.024190442142,-124.83117118394512,-129.5900274690159,4.758856285070749,-2.6798873778505907,-2.45334557627392,-2.3826826101699905,-2.5690900098957883,0.6666666666666666,0.4166666666666667,93.89299168336174,0.0,24.86947524624442,0.24795094816358115,-587.28125,21914.400390625,21858.14658203125,-0.027201032739330104
2016-01-05,21188.720703125,1484745100.0,21662.401953125,21751.2935546875,22321.572126345036,21181.014983029967,9.562060554836432,21720.504970622318,21886.22393212235,-165.71896150003158,-136.815814275219,-28.903147224812585,-0.6489317032808781,-2.3798402227857416,-2.8261984304203063,-3.0522971469377604,0.5833333333333334,0.4166666666666667,100.0,0.0,13.83970811465777,-2.361574364909792,-138.3984375,21327.119140625,21803.65205078125,-2.5690900098957883
2016-01-06,20980.810546875,1651083400.0,21458.640234375,21690.173046875,22313.194689322358,21067.15140442764,9.649202335740933,21606.705828507347,21819.156273955883,-212.45044544853226,-151.94274050988162,-60.50770493865062,-0.9812303402504924,-2.6358439880984843,-3.450837092187377,-3.746577522991491,0.5,0.375,100.0,0.0,1.9658349022696106e-13,-4.074833270006371,-207.91015625,21188.720703125,21751.2935546875,-3.0522971469377604
2016-01-07,20333.33984375,2982003800.0,21148.878125,21611.58349609375,22461.529725557237,20761.637266630267,1.8633224963014536,21410.803369313908,21709.09579764433,-298.2924283304237,-181.21267807399002,-117.0797502564337,-3.086013772816026,-4.408567299834722,-5.917233851885396,-6.332670606399487,0.5,0.3333333333333333,100.0,0.0,1.9658349022696106e-13,-6.537274459376272,-647.470703125,20980.810546875,21690.173046875,-3.746577522991491
2016-01-08,20453.7109375,2078133200.0,20856.740234375,21544.0810546875,22526.389409162137,20561.77270021286,8.803294109694754,21263.55837980408,21616.10432652253,-352.5459467184555,-215.47933180288314,-137.06661491557242,0.5919887961101447,-2.754269592382556,-4.869495518001199,-5.421763864205025,0.5,0.375,93.33046913975711,7.2239446277552775,2.407981542585289,-6.139814687013213,120.37109375,20333.33984375,21611.58349609375,-6.332670606399487
2016-01-11,19888.5,2127840400.0,20569.01640625,21453.2755859375,22667.76437882721,20238.786793047784,5.310545866899437,21052.01093675729,21488.133635669008,-436.12269891171667,-259.60800522464984,-176.51469368706688,-2.763366213725733,-3.898780182831726,-6.79694399704618,-7.617492909982372,0.4166666666666667,0.375,100.0,0.0,2.407981542585289,-8.893805745206437,-565.2109375,20453.7109375,21544.0810546875,-5.421763864205025
2016-01-12,19711.759765625,1834357100.0,20273.62421875,21365.66103515625,22797.73297452709,19933.589095785403,6.48515664131391,20845.818448890783,21356.550386036117,-510.7319371453341,-309.8327916087867,-200.8991455365474,-0.8886554258742488,-3.497383859017082,-6.777373411345582,-7.994802588677768,0.3333333333333333,0.375,100.0,0.0,2.407981542585289,-10.566096890484904,-176.740234375,19888.5,21453.2755859375,-7.617492909982372
2016-01-13,19934.880859375,1787070400.0,20064.43828125,21296.91259765625,22859.195557984025,19734.629637328475,17.698263664559395,20705.674204349896,21251.24153220937,-545.5673278594732,-356.97969885892405,-188.5876290005492,1.1319186942360016,-1.3962694818793528,-4.896367750554601,-6.5954758629102574,0.3333333333333333,0.4166666666666667,90.80432938206651,10.129709368726457,3.3765697895756825,-9.952285556515145,223.12109375,19711.759765625,21365.66103515625,-7.994802588677768
2016-01-14,19817.41015625,1783215300.0,19961.25234375,21224.0646484375,22914.385507518306,19533.743789356693,18.563284452030143,20569.018196949917,21145.031800656823,-576.0136037069096,-400.7864798285211,-175.22712387838848,-0.589272160459167,-1.0280878319356153,-4.659979609958233,-6.784400189778053,0.3333333333333333,0.4166666666666667,95.64574475449608,6.540364469980558,5.556691279569201,-9.590536089556618,-117.470703125,19934.880859375,21296.91259765625,-6.5954758629102574
2016-01-15,19520.76953125,1932607600.0,19774.6640625,21115.042578125,22943.799121352182,19286.286034897825,22.90627946838384,20407.74917145762,21024.716076997054,-616.966905539437,-444.02256497070437,-172.94434056873268,-1.4968687768035405,-1.8456958489864443,-5.14442361536691,-7.785028527216317,0.25,0.4166666666666667,100.0,0.0,5.556691279569201,-11.26769328836925,-296.640625,19817.41015625,21224.0646484375,-6.784400189778053
