Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BIAS_24_L1,BIAS_24_L2
2013/1/2,23311.98047,2129252800,22752.88359,22389.23447,23079.48302,21698.98592,86.34708464,22611.15189,22305.00574,306.1461526,265.7682571,40.37789552,2.847321231,2.554551091,3.121846759,4.554929274,0.666666667,0.583333333,0,100,93.77526519,4.647271829,645.390625,22666.58984,1.959244856,1.96697518
2013/1/3,23398.59961,2211207000,22900.64766,22463.01992,23247.19731,21678.84254,85.81697624,22732.29769,22386.01269,346.285002,281.8716061,64.41339599,0.371564916,2.353826954,3.096592562,4.65306918,0.666666667,0.583333333,0,100,100,4.813935992,86.61914063,23311.98047,4.554929274,1.959244856
2013/1/4,23331.08984,1505752800,23065.60781,22528.05488,23371.43584,21684.67392,80.14929432,22824.41956,22456.01841,368.4011563,299.1775161,69.22364023,-0.288520539,1.561447694,2.487651521,4.066176103,0.583333333,0.583333333,6.281964138,92.53102439,97.51034146,3.678297892,-67.50976563,23398.59961,4.65306918,4.554929274
2013/1/7,23329.75,1401515000,23207.60195,22606.1499,23442.7243,21769.57551,92.83682236,22902.16271,22520.73927,381.4234418,315.6267012,65.79674052,-0.00574274,0.952496752,2.151142031,3.773658287,0.583333333,0.583333333,7.224364991,92.28412018,94.93838153,3.939171627,-1.33984375,23331.08984,4.066176103,4.65306918
2013/1/8,23111.18945,1461679100,23296.52188,22671.71084,23448.68689,21894.73479,73.0442747,22934.32067,22564.47632,369.8443518,326.4702313,43.37412041,-0.936831929,-0.346435698,1.007957999,2.53500207,0.5,0.583333333,30.15784534,67.79034415,84.20182958,2.234846593,-218.5605469,23329.75,3.773658287,4.066176103
2013/1/9,23218.4707,1518554800,23277.81992,22719.08887,23507.99577,21930.18196,74.49100405,22978.03606,22612.92034,365.1157131,334.1993277,30.91638543,0.464196143,-0.279350639,1.216991161,2.764845292,0.583333333,0.583333333,19.92864876,79.8132044,79.96255624,3.130823301,107.28125,23111.18945,2.53500207,3.773658287
2013/1/10,23354.31055,1911808400,23268.96211,22774.31387,23578.5724,21970.05534,53.42947835,23035.92444,22667.83814,368.0863033,340.9767228,27.10958048,0.585050779,0.273682404,1.492236059,3.11431549,0.666666667,0.583333333,4.899941873,94.31331441,80.63895432,3.821250845,135.8398438,23218.4707,2.764845292,2.53500207
2013/1/11,23264.07031,1526867400,23255.5582,22827.95889,23612.35772,22043.56005,39.16434628,23071.02381,22712.00348,359.0203219,344.5854426,14.43487925,-0.386396482,-0.017519648,0.866036374,2.433930164,0.583333333,0.583333333,14.88371389,81.62192594,85.24948158,2.832032523,-90.24023438,23354.31055,3.11431549,2.764845292
2013/1/14,23413.25977,1559383600,23272.26016,22884.78584,23665.87933,22103.69235,55.84879954,23123.67549,22763.94839,359.7270983,347.6137738,12.11332451,0.641286977,0.564465517,1.237270009,2.786600139,0.583333333,0.583333333,0,100,91.97841345,3.325188912,149.1894531,23264.07031,2.433930164,3.11431549
2013/1/15,23381.50977,1450147700,23326.32422,22937.66436,23702.75238,22172.57633,53.53134786,23163.3423,22809.69368,353.6486228,348.8207436,4.827879233,-0.135606918,0.390895277,0.782152618,2.439107404,0.583333333,0.541666667,3.500664342,89.48920212,90.37037602,3.888782823,-31.75,23413.25977,2.786600139,2.433930164
