round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,gru_1_model,gru_2_model,gru_layers,lr,optimizer
50,8.748493564780802e-05,0.0,0.0006207284430984589,0.009756098,64,50,30,30,1,0.1,Adam
50,4.787645229953341e-05,0.0,0.00029053437632150814,0.009756098,64,50,30,30,1,0.01,Adam
50,0.6478163599967957,0.0,0.5821870492725838,0.004878049,64,50,30,30,1,0.001,Adam
50,0.6478163599967957,0.0,0.5821870434574965,0.004878049,64,50,30,30,2,0.1,Adam
50,4.206220182823017e-05,0.0,5.396604885790134e-05,0.009756098,64,50,30,30,2,0.01,Adam
50,0.6478163599967957,0.0,0.5821870539246536,0.004878049,64,50,30,30,2,0.001,Adam
50,0.6478163599967957,0.0,0.5821870382239179,0.004878049,64,50,30,50,1,0.1,Adam
50,0.6478163599967957,0.0,0.5821870748589678,0.004878049,64,50,30,50,1,0.01,Adam
50,0.0005119770066812634,0.0,0.004809671849375818,0.009756098,64,50,30,50,1,0.001,Adam
50,0.004255825653672218,0.0,0.001991220563650131,0.009756098,64,50,30,50,2,0.1,Adam
50,0.0002021577238338068,0.0,5.6655922668230744e-05,0.009756098,64,50,30,50,2,0.01,Adam
50,0.6478163599967957,0.0,0.5821870420037246,0.004878049,64,50,30,50,2,0.001,Adam
50,0.0008105272427201271,0.0,0.0004560510321270402,0.009756098,64,50,30,70,1,0.1,Adam
50,0.6478163599967957,0.0,0.5821870475280576,0.004878049,64,50,30,70,1,0.01,Adam
50,0.0004266937612555921,0.0,0.0028559384867548943,0.009756098,64,50,30,70,1,0.001,Adam
50,0.6478163599967957,0.0,0.582187094921019,0.004878049,64,50,30,70,2,0.1,Adam
50,0.6478163599967957,0.0,0.5821870661363369,0.004878049,64,50,30,70,2,0.01,Adam
50,0.6478163599967957,0.0,0.5821870524708818,0.004878049,64,50,30,70,2,0.001,Adam
50,0.6478163599967957,0.0,0.5821870617750214,0.004878049,64,50,50,30,1,0.1,Adam
50,2.8205258786329068e-05,0.0,0.00010115839186033643,0.009756098,64,50,50,30,1,0.01,Adam
50,0.00280207023024559,0.0,0.005163686195524727,0.009756098,64,50,50,30,1,0.001,Adam
50,0.6478163599967957,0.0,0.5821870774757572,0.004878049,64,50,50,30,2,0.1,Adam
50,0.6478163599967957,0.0,0.5821870484003207,0.004878049,64,50,50,30,2,0.01,Adam
50,0.0006200784118846059,0.0,0.0029247840957307234,0.009756098,64,50,50,30,2,0.001,Adam
50,0.6478163599967957,0.0,0.5821870478188119,0.004878049,64,50,50,50,1,0.1,Adam
50,4.5462496927939355e-05,0.0,6.124994557112365e-05,0.009756098,64,50,50,50,1,0.01,Adam
50,0.0009035255061462522,0.0,0.0034401272503068532,0.009756098,64,50,50,50,1,0.001,Adam
50,0.6478163599967957,0.0,0.582187054215408,0.004878049,64,50,50,50,2,0.1,Adam
50,3.288303560111672e-05,0.0,3.760398792176757e-05,0.009756098,64,50,50,50,2,0.01,Adam
50,0.0007449204567819834,0.0,0.0028607668701513874,0.009756098,64,50,50,50,2,0.001,Adam
50,0.6478163599967957,0.0,0.5821870539246536,0.004878049,64,50,50,70,1,0.1,Adam
50,0.6478163599967957,0.0,0.5821871004453519,0.004878049,64,50,50,70,1,0.01,Adam
50,0.00040956150041893125,0.0,0.002293311203716368,0.009756098,64,50,50,70,1,0.001,Adam
50,0.6478163599967957,0.0,0.5821870626472845,0.004878049,64,50,50,70,2,0.1,Adam
50,0.00017205005860887468,0.0,4.2655661956992046e-05,0.009756098,64,50,50,70,2,0.01,Adam
50,0.6478163599967957,0.0,0.5821870460742857,0.004878049,64,50,50,70,2,0.001,Adam
50,0.6478163599967957,0.0,0.5821870658455826,0.004878049,64,50,70,30,1,0.1,Adam
50,8.613766840426251e-05,0.0,6.055060501505689e-05,0.009756098,64,50,70,30,1,0.01,Adam
50,0.0016882519703358412,0.0,0.0029708306503868323,0.009756098,64,50,70,30,1,0.001,Adam
50,0.0021550613455474377,0.0,0.002398014951088443,0.009756098,64,50,70,30,2,0.1,Adam
50,9.905216575134546e-05,0.0,4.8165450585301875e-05,0.009756098,64,50,70,30,2,0.01,Adam
50,0.0003803982399404049,0.0,0.0030149031657634713,0.009756098,64,50,70,30,2,0.001,Adam
50,0.6478163599967957,0.0,0.5821870620657758,0.004878049,64,50,70,50,1,0.1,Adam
50,0.00015449177590198815,0.0,0.0002750134305665042,0.009756098,64,50,70,50,1,0.01,Adam
50,0.0004199151007924229,0.0,0.0029345973372095968,0.009756098,64,50,70,50,1,0.001,Adam
50,0.0061232405714690685,0.0,0.051320727296718736,0.004878049,64,50,70,50,2,0.1,Adam
50,0.00016512404545210302,0.0,5.105354176499177e-05,0.009756098,64,50,70,50,2,0.01,Adam
50,0.00032660443685017526,0.0,0.002295761299887445,0.009756098,64,50,70,50,2,0.001,Adam
50,0.6478163599967957,0.0,0.5821870379331635,0.004878049,64,50,70,70,1,0.1,Adam
50,4.5974866225151345e-05,0.0,0.0002277677541558926,0.009756098,64,50,70,70,1,0.01,Adam
50,0.000264335802057758,0.0,0.0029670414344475766,0.009756098,64,50,70,70,1,0.001,Adam
50,0.6478163599967957,0.0,0.5821870475280576,0.004878049,64,50,70,70,2,0.1,Adam
50,0.6478163599967957,0.0,0.5821870748589678,0.004878049,64,50,70,70,2,0.01,Adam
50,0.00023511001199949533,0.0,0.00231942238581435,0.009756098,64,50,70,70,2,0.001,Adam
80,0.6478163599967957,0.0,0.5821870475280576,0.004878049,64,80,30,30,1,0.1,Adam
80,6.33847521385178e-05,0.0,4.655036377144137e-05,0.009756098,64,80,30,30,1,0.01,Adam
80,0.0005144503084011376,0.0,0.002508486625624866,0.009756098,64,80,30,30,1,0.001,Adam
80,0.6478163599967957,0.0,0.5821870745682135,0.004878049,64,80,30,30,2,0.1,Adam
80,0.0002486335579305887,0.0,3.7242513076862226e-05,0.009756098,64,80,30,30,2,0.01,Adam
80,0.00035048217978328466,0.0,0.0019702640339368726,0.009756098,64,80,30,30,2,0.001,Adam
80,0.6478163599967957,0.0,0.5821575281096668,0.004878049,64,80,30,50,1,0.1,Adam
80,8.908721792977303e-05,0.0,5.916374623377967e-05,0.009756098,64,80,30,50,1,0.01,Adam
80,0.6478163599967957,0.0,0.5821870658455826,0.004878049,64,80,30,50,1,0.001,Adam
80,0.6478163599967957,0.0,0.5821870396776897,0.004878049,64,80,30,50,2,0.1,Adam
80,0.00029852119041606784,0.0,6.304706759870098e-05,0.009756098,64,80,30,50,2,0.01,Adam
80,0.000178936606971547,0.0,0.0012792230083993295,0.009756098,64,80,30,50,2,0.001,Adam
80,0.6478163599967957,0.0,0.5821870588674778,0.004878049,64,80,30,70,1,0.1,Adam
80,0.00018980036838911474,0.0,4.967998311480098e-05,0.009756098,64,80,30,70,1,0.01,Adam
80,0.0015461620641872287,0.0,0.0019507468274862665,0.009756098,64,80,30,70,1,0.001,Adam
80,0.6478163599967957,0.0,0.5821870649733194,0.004878049,64,80,30,70,2,0.1,Adam
80,6.061435487936251e-05,0.0,2.9133093666154663e-05,0.009756098,64,80,30,70,2,0.01,Adam
80,0.001053928630426526,0.0,0.002248232090482261,0.009756098,64,80,30,70,2,0.001,Adam
80,0.6478163599967957,0.0,0.5821870515986187,0.004878049,64,80,50,30,1,0.1,Adam
80,2.1579762687906623e-05,0.0,5.2935638548039674e-05,0.009756098,64,80,50,30,1,0.01,Adam
80,0.0019265353912487626,0.0,0.0023163587593178197,0.009756098,64,80,50,30,1,0.001,Adam
