Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG
21327.119140625,1712094800.0,21808.581640625,21803.65205078125,22363.653199546985,21243.650902015514,18.51555618377482,21817.19301925819,21942.024190442142,-124.83117118395239,-129.59002746901749,4.758856285065093,-2.679887377850591,-2.4533455762739202,-2.3826826101699905,-2.5690900098957883,0.6666666666666666,0.4166666666666667,93.89299168336174,0.0,24.86947524624438,0.24795094816358115,-587.28125,21914.400390625
21188.720703125,1484745100.0,21662.401953125,21751.2935546875,22336.38702386706,21166.200085507942,9.562060554836432,21720.50497062231,21886.223932122353,-165.7189615000425,-136.8158142752225,-28.903147224820003,-0.6489317032808781,-2.3798402227857416,-2.8261984304203063,-3.0522971469377604,0.5833333333333334,0.4166666666666667,100.0,0.0,13.839708114657732,-2.3615743649097922,-138.3984375,21327.119140625
20980.810546875,1651083400.0,21458.640234375,21690.173046875,22329.379764906942,21050.966328843057,9.649202335740933,21606.70582850734,21819.156273955883,-212.45044544854318,-151.94274050988665,-60.50770493865653,-0.9812303402504925,-2.6358439880984843,-3.450837092187377,-3.746577522991491,0.5,0.375,100.0,0.0,1.5868787765308903e-13,-4.074833270006371,-207.91015625,21188.720703125
20333.33984375,2982003800.0,21148.878125,21611.58349609375,22483.609927960086,20739.557064227414,1.863322496301454,21410.803369313904,21709.09579764434,-298.29242833043463,-181.21267807399627,-117.07975025643836,-3.0860137728160266,-4.408567299834722,-5.917233851885396,-6.332670606399487,0.5,0.3333333333333333,100.0,0.0,1.5868787765308903e-13,-6.537274459376271,-647.470703125,20980.810546875
20453.7109375,2078133200.0,20856.740234375,21544.0810546875,22551.90816145122,20536.25394792378,8.803294109694756,21263.55837980407,21616.104326522534,-352.5459467184628,-215.47933180288962,-137.06661491557318,0.5919887961101447,-2.754269592382556,-4.869495518001199,-5.421763864205025,0.5,0.375,93.33046913975713,7.223944627755278,2.4079815425852513,-6.139814687013213,120.37109375,20333.33984375
19888.5,2127840400.0,20569.01640625,21453.2755859375,22699.31479629262,20207.23637558238,5.310545866899435,21052.01093675729,21488.133635669015,-436.122698911724,-259.6080052246565,-176.5146936870675,-2.7633662137257335,-3.898780182831726,-6.79694399704618,-7.6174929099823725,0.4166666666666667,0.375,100.0,0.0,2.4079815425852513,-8.893805745206437,-565.2109375,20453.7109375
19711.759765625,1834357100.0,20273.62421875,21365.66103515625,22834.935843579507,19896.38622673299,6.48515664131391,20845.81844889079,21356.550386036124,-510.7319371453341,-309.83279160879204,-200.89914553654205,-0.8886554258742488,-3.497383859017082,-6.777373411345583,-7.994802588677768,0.3333333333333333,0.375,100.0,0.0,2.4079815425852513,-10.566096890484902,-176.740234375,19888.5
19934.880859375,1787070400.0,20064.43828125,21296.91259765625,22899.781094784303,19694.044100528197,17.698263664559395,20705.674204349903,21251.241532209373,-545.5673278594695,-356.9796988589276,-188.58762900054194,1.1319186942360016,-1.396269481879353,-4.896367750554601,-6.595475862910257,0.3333333333333333,0.4166666666666667,90.80432938206651,10.129709368726457,3.3765697895756444,-9.952285556515143,223.12109375,19711.759765625
19817.41015625,1783215300.0,19961.25234375,21224.0646484375,22958.297257932543,19489.832038942455,18.56328445203014,20569.018196949917,21145.031800656823,-576.013603706906,-400.78647982852334,-175.22712387838266,-0.589272160459167,-1.0280878319356153,-4.659979609958233,-6.784400189778052,0.3333333333333333,0.4166666666666667,95.64574475449609,6.540364469980557,5.556691279569164,-9.590536089556615,-117.470703125,19934.880859375
19520.76953125,1932607600.0,19774.6640625,21115.042578125,22991.3072027104,19238.777953539604,22.906279468383843,20407.74917145762,21024.716076997058,-616.966905539437,-444.02256497070607,-172.94434056873092,-1.4968687768035405,-1.8456958489864443,-5.14442361536691,-7.785028527216317,0.25,0.4166666666666667,100.0,0.0,5.556691279569164,-11.26769328836925,-296.640625,19817.41015625
19237.44921875,2038630500.0,19644.45390625,20983.31201171875,23000.44777405889,18966.17624937861,13.420786135370925,20227.703024887218,20892.325939349128,-664.6229144619101,-488.14263486894686,-176.48027959296326,-1.4513788098693758,-2.27419923636964,-5.5092066073954005,-8.723384562811859,0.25,0.4166666666666667,100.0,0.0,2.180121489993678,-12.086111852188317,-283.3203125,19520.76953125
19635.810546875,1825359900.0,19629.2640625,20877.32451171875,22945.718225752596,18808.930797684905,41.55254480754791,20136.64264365457,20799.250725091788,-662.6080814372181,-523.0357241826011,-139.57235725461692,2.070759608486621,-0.03666850575400516,-2.6445264015905092,-6.523903285452299,0.25,0.4583333333333333,85.1188421996514,32.75292825415993,10.917642751386802,-10.397682816477072,398.361328125,19237.44921875
18886.30078125,2459536700.0,19419.548046875,20732.05556640625,22933.86192629292,18530.249206519577,30.046183641114112,19944.28235713079,20657.550729251656,-713.2683721208668,-561.0822537702543,-152.18611835061256,-3.8170553939484964,-3.1741717578675837,-5.406687489231763,-9.66403209604275,0.25,0.4583333333333333,100.0,0.0,10.917642751386802,-11.444669780671891,-749.509765625,19635.810546875
18542.150390625,2608444800.0,19164.49609375,20567.662109375,22910.733600393043,18224.590618356957,18.194558429973238,19728.569746899127,20500.854407871902,-772.2846609727749,-603.3227352107584,-168.96192576201645,-1.8222223325314542,-3.793663464691648,-6.093066448855299,-10.748230585958925,0.25,0.4166666666666667,100.0,0.0,10.917642751386802,-12.490467685997073,-344.150390625,18886.30078125
