DJI,GSPC,HSI,N225,TWI
83.48834,9.68832,183.77501,144.56811,108.40923
0.13830,0.13169,0.22861,0.20067,0.37155
95.67931,8.85612,185.38517,112.24872,32.46058
0.12307,0.0914,0.21731,0.14567,0.08155
42.30767,3.91171,64.19443,25.1992,31.06032
0.05691,0.04369,0.07454,0.02588,0.08954
296.49363,55.51831,528.95378,388.00123,265.45173
0.53343,0.86953,0.59087,0.67954,0.80757
