DJI,GSPC,HSI,N225,TWI
265.01942,28.62964,852.81095,512.22491,255.976
0.33752,0.28648,1.04788,0.63186,0.8418
457.4366,47.83074,631.54103,452.32712,263.43146
0.76179,0.76081,0.60478,0.55097,0.56149
111.77707,26.29605,462.34688,97.88415,91.57714
0.16122,0.40737,0.6677,0.11268,0.23383
987.24548,142.70409,2031.06076,1395.96034,738.42355
1.56657,2.02483,2.02375,1.9042,2.39338
