DJI,GSPC,HSI,N225,TWII
13.63687,1.45312,30.95193,19.10550,10.42616
0.11557,0.10809,0.21780,0.14825,0.17895
12.33737,1.44619,20.00893,17.69561,13.41158
0.11077,0.11401,0.14051,0.13777,0.20398
5.92252,0.99030,29.92271,5.51628,3.72678
0.04842,0.07031,0.2118,0.04153,0.04916
81.232,9.97496,126.02054,242.72884,45.1254
0.82028,0.98987,0.75484,2.59691,0.87373
