DJI,GSPC,HSI,N225,TWII
13.78675,2.08292,37.42206,34.63686,14.62109
0.11292,0.15362,0.27542,0.26902,0.25911
18.76894,2.25067,24.30599,22.43073,10.59616
0.15483,0.18179,0.15992,0.16052,0.14565
7.20826,0.93183,16.91248,8.07027,6.90804
0.05555,0.06406,0.10103,0.05699,0.09465
69.92321,8.52325,154.97404,246.31007,41.6361
0.62598,0.76357,0.91271,2.56346,0.74102
