round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm_1_nodes,lstm_2_nodes,lstm_3_nodes,lstm_layers,optimizer
50,0.00010333179670851678,0.0,0.00014284249136305768,0.004854369,64,50,0.1,30,30,30,1,Adam
50,0.0002753053850028664,0.0,7.556520673125367e-05,0.004854369,64,50,0.1,30,30,30,2,Adam
50,4.907028051093221e-05,0.0,0.00025530189735751635,0.004854369,64,50,0.1,30,30,30,3,Adam
50,0.00018827515305019915,0.0,0.00011875977990041189,0.004854369,64,50,0.1,30,30,50,1,Adam
50,1.762673127814196e-05,0.0,7.245214764781531e-05,0.004854369,64,50,0.1,30,30,50,2,Adam
50,0.00041774887358769774,0.0,0.000562055010995059,0.004854369,64,50,0.1,30,30,50,3,Adam
50,0.00030083669116720557,0.0,0.00015627003265816032,0.004854369,64,50,0.1,30,50,30,1,Adam
50,3.871747321682051e-05,0.0,0.0001421460302719548,0.004854369,64,50,0.1,30,50,30,2,Adam
50,0.029928218573331833,0.0,0.022654996859361825,0.0,64,50,0.1,30,50,30,3,Adam
50,6.121220212662593e-05,0.0,5.249900305960147e-05,0.004854369,64,50,0.1,30,50,50,1,Adam
50,4.760304364026524e-05,0.0,0.0002029193960835488,0.004854369,64,50,0.1,30,50,50,2,Adam
50,0.025669848546385765,0.0,0.021733938544554618,0.0,64,50,0.1,30,50,50,3,Adam
50,0.0005247237859293818,0.0,0.0008115558918945275,0.004854369,64,50,0.1,50,30,30,1,Adam
50,3.087121876887977e-05,0.0,0.0001492183397663079,0.004854369,64,50,0.1,50,30,30,2,Adam
50,0.0001621386909391731,0.0,0.00031327684545545903,0.004854369,64,50,0.1,50,30,30,3,Adam
50,0.00014659456792287529,0.0,0.00031082072290727523,0.004854369,64,50,0.1,50,30,50,1,Adam
50,0.0021880820859223604,0.0,0.0005933343352596231,0.004854369,64,50,0.1,50,30,50,2,Adam
50,0.004157609306275845,0.0,0.0030865025417246288,0.004854369,64,50,0.1,50,30,50,3,Adam
50,0.00034867977956309915,0.0,0.0004427134210822507,0.004854369,64,50,0.1,50,50,30,1,Adam
50,0.027671605348587036,0.0,0.02140259672209476,0.0,64,50,0.1,50,50,30,2,Adam
50,3.091465987381525e-05,0.0,0.0001896077123339496,0.004854369,64,50,0.1,50,50,30,3,Adam
50,0.009340669959783554,0.0,0.004528458465288565,0.004854369,64,50,0.1,50,50,50,1,Adam
50,0.0005458917585201561,0.0,0.00022372093929873003,0.004854369,64,50,0.1,50,50,50,2,Adam
50,0.000558129686396569,0.0,0.00019731159554088026,0.004854369,64,50,0.1,50,50,50,3,Adam
50,6.59052311675623e-05,0.0,4.803976703133407e-05,0.004854369,64,50,0.01,30,30,30,1,Adam
50,1.1114419976365753e-05,0.0,6.90223215906813e-05,0.004854369,64,50,0.01,30,30,30,2,Adam
50,2.707017665670719e-05,0.0,6.209329465102942e-05,0.004854369,64,50,0.01,30,30,30,3,Adam
50,8.332581637660041e-05,0.0,7.52223941251111e-05,0.004854369,64,50,0.01,30,30,50,1,Adam
50,2.9308885132195428e-05,0.0,6.0138884859467016e-05,0.004854369,64,50,0.01,30,30,50,2,Adam
50,4.067303234478459e-05,0.0,9.971576600416916e-05,0.004854369,64,50,0.01,30,30,50,3,Adam
50,6.848960765637457e-05,0.0,4.690374139367458e-05,0.004854369,64,50,0.01,30,50,30,1,Adam
50,4.787071520695463e-05,0.0,8.816554557076583e-05,0.004854369,64,50,0.01,30,50,30,2,Adam
50,1.5401699783978984e-05,0.0,7.234478315809805e-05,0.004854369,64,50,0.01,30,50,30,3,Adam
50,9.909369691740721e-05,0.0,5.4968770818606256e-05,0.004854369,64,50,0.01,30,50,50,1,Adam
50,1.8557617295300588e-05,0.0,5.160621310882632e-05,0.004854369,64,50,0.01,30,50,50,2,Adam
50,5.301256351231132e-06,0.0,6.821875568384359e-05,0.004854369,64,50,0.01,30,50,50,3,Adam
50,1.101084581023315e-05,0.0,2.7162030738571012e-05,0.004854369,64,50,0.01,50,30,30,1,Adam
50,5.975871317787096e-05,0.0,4.957670310794182e-05,0.004854369,64,50,0.01,50,30,30,2,Adam
50,2.043456697720103e-05,0.0,8.846861818560639e-05,0.004854369,64,50,0.01,50,30,30,3,Adam
50,4.5213491830509156e-05,0.0,5.753652612397276e-05,0.004854369,64,50,0.01,50,30,50,1,Adam
50,3.3152606192743406e-05,0.0,3.975082668634041e-05,0.004854369,64,50,0.01,50,30,50,2,Adam
50,4.334395634941757e-05,0.0,5.023637867037623e-05,0.004854369,64,50,0.01,50,30,50,3,Adam
50,3.6407953302841634e-05,0.0,3.885011757976597e-05,0.004854369,64,50,0.01,50,50,30,1,Adam
