round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm_1_nodes,lstm_2_nodes,lstm_layers,optimizer
50,0.00035268935607746243,0.0,0.00011081923497840762,0.005,64,50,0.1,30,30,1,Adam
50,0.00032281296444125473,0.0,0.0001491877599619329,0.005,64,50,0.1,30,30,2,Adam
50,0.0002763567608781159,0.0,7.968601639731787e-05,0.005,64,50,0.1,30,50,1,Adam
50,0.0007695675594732165,0.0,0.00018788264016620816,0.005,64,50,0.1,30,50,2,Adam
50,0.0002662834885995835,0.0,9.392294392455369e-05,0.005,64,50,0.1,30,70,1,Adam
50,0.0009401906281709671,0.0,0.00017614809825317935,0.005,64,50,0.1,30,70,2,Adam
50,0.00016394529666285962,0.0,8.013794111320749e-05,0.005,64,50,0.1,50,30,1,Adam
50,0.00022967516270000488,0.0,0.00011779271706473082,0.005,64,50,0.1,50,30,2,Adam
50,0.0001925191463669762,0.0,8.161496196407825e-05,0.005,64,50,0.1,50,50,1,Adam
50,0.0007923305965960026,0.0,7.101518480340019e-05,0.005,64,50,0.1,50,50,2,Adam
50,0.001190881128422916,0.0,0.00010690661962144077,0.005,64,50,0.1,50,70,1,Adam
50,0.0024926152545958757,0.0,0.00039309955202043056,0.005,64,50,0.1,50,70,2,Adam
50,0.0018225843086838722,0.0,0.0001972623006440699,0.005,64,50,0.1,70,30,1,Adam
50,0.020848369225859642,0.0,0.02174662260338664,0.005,64,50,0.1,70,30,2,Adam
50,0.0008369722636416554,0.0,8.653135591885075e-05,0.005,64,50,0.1,70,50,1,Adam
50,0.036321721971035004,0.0,0.020056973919272424,0.005,64,50,0.1,70,50,2,Adam
50,0.0003032827517017722,0.0,0.0001216742818360217,0.005,64,50,0.1,70,70,1,Adam
50,0.029765570536255836,0.0,0.019920016825199127,0.005,64,50,0.1,70,70,2,Adam
50,0.0010082642547786236,0.0,0.00028203024761751293,0.005,64,50,0.01,30,30,1,Adam
50,0.00020480318926274776,0.0,0.00022495243232697248,0.005,64,50,0.01,30,30,2,Adam
50,0.0012854033848270774,0.0,0.0003084818180650473,0.005,64,50,0.01,30,50,1,Adam
50,0.0012972401455044746,0.0,0.0003116369398776442,0.005,64,50,0.01,30,50,2,Adam
50,0.0007672893116250634,0.0,0.0002151945000514388,0.005,64,50,0.01,30,70,1,Adam
50,0.0002291794226039201,0.0,0.00012975501915207132,0.005,64,50,0.01,30,70,2,Adam
50,0.000755496381316334,0.0,0.00021209967671893538,0.005,64,50,0.01,50,30,1,Adam
50,0.0002479475806467235,0.0,0.00012259168608579784,0.005,64,50,0.01,50,30,2,Adam
50,0.0004980404628440738,0.0,0.00020175074227154254,0.005,64,50,0.01,50,50,1,Adam
50,6.359747931128368e-05,0.0,8.722320781089366e-05,0.005,64,50,0.01,50,50,2,Adam
50,0.00024014813243411481,0.0,0.00013361721648834645,0.005,64,50,0.01,50,70,1,Adam
50,7.556423952337354e-05,0.0,0.00012004688614979387,0.005,64,50,0.01,50,70,2,Adam
50,0.00040267215808853507,0.0,0.0001621582463849336,0.005,64,50,0.01,70,30,1,Adam
50,0.0004348962684161961,0.0,0.00014710938557982445,0.005,64,50,0.01,70,30,2,Adam
50,0.0006435824325308204,0.0,0.00020514133619144558,0.005,64,50,0.01,70,50,1,Adam
50,0.00013057721662335098,0.0,0.00011227346869418397,0.005,64,50,0.01,70,50,2,Adam
50,0.0004609948373399675,0.0,0.00016470182919874787,0.005,64,50,0.01,70,70,1,Adam
50,6.707662396365777e-05,0.0,0.00010207040118984877,0.005,64,50,0.01,70,70,2,Adam
50,0.013574784621596336,0.0,0.0019714054837822914,0.005,64,50,0.001,30,30,1,Adam
50,0.006500218994915485,0.0,0.001330744803417474,0.005,64,50,0.001,30,30,2,Adam
50,0.007103809621185064,0.0,0.0028603646345436574,0.005,64,50,0.001,30,50,1,Adam
50,0.007036718539893627,0.0,0.0013129369542002679,0.005,64,50,0.001,30,50,2,Adam
50,0.006936154328286648,0.0,0.0011868680850602687,0.005,64,50,0.001,30,70,1,Adam
50,0.0075439088977873325,0.0,0.0011483159381896258,0.005,64,50,0.001,30,70,2,Adam
50,0.007712217979133129,0.0,0.0014863360580056905,0.005,64,50,0.001,50,30,1,Adam
50,0.006334048695862293,0.0,0.001344633074477315,0.005,64,50,0.001,50,30,2,Adam
50,0.009497985243797302,0.0,0.0016779800411313773,0.005,64,50,0.001,50,50,1,Adam
