round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm_layers,optimizer
50,0.023101244121789932,0.0,0.016851717696606535,0.004854369,128,50,0.1,50,50,1,Adam
50,0.009147530421614647,0.0,0.01132161453257776,0.004854369,128,50,0.1,50,50,2,Adam
50,0.0005760584026575089,0.0,0.000760751476316957,0.004854369,128,50,0.01,30,30,1,Adam
50,0.0008766259998083115,0.0,0.0008420692869796626,0.004854369,128,50,0.01,30,30,2,Adam
50,0.00037513970164582133,0.0,0.0016836587156539838,0.004854369,128,50,0.01,30,50,1,Adam
50,0.0010199469979852438,0.0,0.001164751546683459,0.004854369,128,50,0.01,30,50,2,Adam
50,0.00038525191484950483,0.0,0.0006133081579074552,0.004854369,128,50,0.01,50,30,1,Adam
50,0.0006932347896508873,0.0,0.0007525290468780016,0.004854369,128,50,0.01,50,30,2,Adam
50,0.0004809762758668512,0.0,0.0006577620148269948,0.004854369,128,50,0.01,50,50,1,Adam
50,0.0007067779079079628,0.0,0.000721728602691002,0.004854369,128,50,0.01,50,50,2,Adam
50,0.0006651508738286793,0.0,0.0026176550213102864,0.004854369,128,50,0.001,30,30,1,Adam
50,0.0003431313089095056,0.0,0.003454060919890271,0.004854369,128,50,0.001,30,30,2,Adam
50,0.01247566007077694,0.0,0.0036657612897383358,0.004854369,128,50,0.001,30,50,1,Adam
50,0.0004465345700737089,0.0,0.0032190777840617212,0.004854369,128,50,0.001,30,50,2,Adam
50,0.0017575302626937628,0.0,0.0026928664962715893,0.004854369,128,50,0.001,50,30,1,Adam
50,0.0033558316063135862,0.0,0.004000748419519333,0.004854369,128,50,0.001,50,30,2,Adam
50,0.011482623405754566,0.0,0.003783839298140945,0.004854369,128,50,0.001,50,50,1,Adam
50,0.0015328071312978864,0.0,0.0029950192971245466,0.004854369,128,50,0.001,50,50,2,Adam
80,0.0005638424772769213,0.0,0.0010735271182092069,0.004854369,128,80,0.1,30,30,1,Adam
80,0.00024832639610394835,0.0,0.00012664399732828808,0.004854369,128,80,0.1,30,30,2,Adam
80,1.5633837392670102e-05,0.0,0.00014487514611405945,0.004854369,128,80,0.1,30,50,1,Adam
80,8.317670290125534e-05,0.0,0.0009559021685701948,0.004854369,128,80,0.1,30,50,2,Adam
80,7.436794112436473e-05,0.0,0.00015643965197191347,0.004854369,128,80,0.1,50,30,1,Adam
80,3.703907714225352e-05,0.0,0.00012665225878963698,0.004854369,128,80,0.1,50,30,2,Adam
80,0.0005556570831686258,0.0,0.00011401143486191094,0.004854369,128,80,0.1,50,50,1,Adam
80,0.00012615110608749092,0.0,0.00048617823320685084,0.004854369,128,80,0.1,50,50,2,Adam
80,0.00029315633582882583,0.0,0.0003775314906006227,0.004854369,128,80,0.01,30,30,1,Adam
80,0.00010389178351033479,0.0,0.00010049862732593133,0.004854369,128,80,0.01,30,30,2,Adam
80,0.0003675866755656898,0.0,0.00032540276907700865,0.004854369,128,80,0.01,30,50,1,Adam
80,0.00010198899690294638,0.0,0.00011935159272979945,0.004854369,128,80,0.01,30,50,2,Adam
80,0.0003029853105545044,0.0,0.00022522748834498732,0.004854369,128,80,0.01,50,30,1,Adam
80,0.0001570655294926837,0.0,0.00016352845825202926,0.004854369,128,80,0.01,50,30,2,Adam
80,0.00016965177201200277,0.0,0.00016656470681694383,0.004854369,128,80,0.01,50,50,1,Adam
80,7.139198714867234e-05,0.0,0.00010482077678954862,0.004854369,128,80,0.01,50,50,2,Adam
80,0.0001462454383727163,0.0,0.0021784895606049635,0.004854369,128,80,0.001,30,30,1,Adam
80,0.0016673855716362596,0.0,0.003251298217699655,0.004854369,128,80,0.001,30,30,2,Adam
80,0.0015893150120973587,0.0,0.0031333669468543482,0.004854369,128,80,0.001,30,50,1,Adam
80,0.0018624806543812156,0.0,0.002567649120464921,0.004854369,128,80,0.001,30,50,2,Adam
80,0.004410741850733757,0.0,0.0027586124991111965,0.004854369,128,80,0.001,50,30,1,Adam
80,0.0009315277566201985,0.0,0.0018671734837218397,0.004854369,128,80,0.001,50,30,2,Adam
80,0.0008701648330315948,0.0,0.00299912413527954,0.004854369,128,80,0.001,50,50,1,Adam
80,0.0017875712364912033,0.0,0.0016614207658844375,0.004854369,128,80,0.001,50,50,2,Adam
