round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm3_nodes,lstm_layers,optimizer
20,0.000133949,0,0.000369556,0.004975124,64,20,0.01,30,50,70,1,Adam
20,7.89E-05,0,0.000348863,0.004975124,64,20,0.01,30,50,70,2,Adam
20,8.17E-05,0,0.000476996,0.004975124,64,20,0.01,30,70,30,1,Adam
20,9.96E-05,0,0.000501322,0.004975124,64,20,0.01,30,70,30,2,Adam
20,0.000424598,0,0.000328122,0.004975124,64,20,0.01,30,70,50,1,Adam
20,6.74E-05,0,0.000367857,0.004975124,64,20,0.01,30,70,50,2,Adam
20,0.000266207,0,0.000486798,0.004975124,64,20,0.01,30,70,70,1,Adam
20,0.000481904,0,0.000353448,0.004975124,64,20,0.01,30,70,70,2,Adam
20,4.27E-05,0,0.000291582,0.004975124,64,20,0.01,50,30,30,1,Adam
20,0.000113575,0,0.000528333,0.004975124,64,20,0.01,50,30,30,2,Adam
20,0.000291675,0,0.000332752,0.004975124,64,20,0.01,50,30,50,1,Adam
20,6.37E-05,0,0.000365188,0.004975124,64,20,0.01,50,30,50,2,Adam
20,8.71E-05,0,0.00042804,0.004975124,64,20,0.01,50,30,70,1,Adam
20,0.000181359,0,0.000442386,0.004975124,64,20,0.01,50,30,70,2,Adam
20,0.000104281,0,0.000434051,0.004975124,64,20,0.01,50,50,30,1,Adam
20,0.00064362,0,0.000786361,0.004975124,64,20,0.01,50,50,30,2,Adam
20,9.24E-05,0,0.000340869,0.004975124,64,20,0.01,50,50,50,1,Adam
20,0.000101319,0,0.000442126,0.004975124,64,20,0.01,50,50,50,2,Adam
20,2.11E-05,0,0.000263714,0.004975124,64,20,0.01,50,50,70,1,Adam
20,0.00051556,0,0.000292123,0.004975124,64,20,0.01,50,50,70,2,Adam
20,0.000464664,0,0.000578688,0.004975124,64,20,0.01,50,70,30,1,Adam
20,0.000489859,0,0.000561106,0.004975124,64,20,0.01,50,70,30,2,Adam
20,0.000170344,0,0.000261735,0.004975124,64,20,0.01,50,70,50,1,Adam
20,0.000252898,0,0.000516569,0.004975124,64,20,0.01,50,70,50,2,Adam
20,6.07E-05,0,0.000337319,0.004975124,64,20,0.01,50,70,70,1,Adam
20,0.000189275,0,0.000327063,0.004975124,64,20,0.01,50,70,70,2,Adam
20,7.94E-05,0,0.000378931,0.004975124,64,20,0.01,70,30,30,1,Adam
20,0.000130787,0,0.000385111,0.004975124,64,20,0.01,70,30,30,2,Adam
20,0.000331515,0,0.000356364,0.004975124,64,20,0.01,70,30,50,1,Adam
20,6.32E-05,0,0.000344644,0.004975124,64,20,0.01,70,30,50,2,Adam
20,0.000146447,0,0.000290913,0.004975124,64,20,0.01,70,30,70,1,Adam
20,0.000177919,0,0.0003308,0.004975124,64,20,0.01,70,30,70,2,Adam
20,0.00012598,0,0.00030489,0.004975124,64,20,0.01,70,50,30,1,Adam
20,0.000102911,0,0.000308333,0.004975124,64,20,0.01,70,50,30,2,Adam
20,0.000235834,0,0.000353783,0.004975124,64,20,0.01,70,50,50,1,Adam
20,0.000110589,0,0.000618357,0.004975124,64,20,0.01,70,50,50,2,Adam
20,0.000141542,0,0.000235842,0.004975124,64,20,0.01,70,50,70,1,Adam
20,0.000299777,0,0.000308474,0.004975124,64,20,0.01,70,50,70,2,Adam
20,7.44E-05,0,0.000320107,0.004975124,64,20,0.01,70,70,30,1,Adam
20,9.95E-05,0,0.000307386,0.004975124,64,20,0.01,70,70,30,2,Adam
20,0.000113703,0,0.00029619,0.004975124,64,20,0.01,70,70,50,1,Adam
20,0.000136413,0,0.000352847,0.004975124,64,20,0.01,70,70,50,2,Adam
20,2.72E-05,0,0.000327931,0.004975124,64,20,0.01,70,70,70,1,Adam
20,2.58E-05,0,0.00096618,0.004975124,64,20,0.01,70,70,70,2,Adam
20,0.00572307,0,0.012438087,0.004975124,64,20,0.001,30,30,30,1,Adam
20,0.007382891,0,0.014892107,0,64,20,0.001,30,30,30,2,Adam
20,0.005469562,0,0.012266197,0.004975124,64,20,0.001,30,30,50,1,Adam
20,0.006138152,0,0.013546341,0,64,20,0.001,30,30,50,2,Adam
20,0.005294026,0,0.010720218,0.004975124,64,20,0.001,30,30,70,1,Adam
20,0.007306978,0,0.014182696,0,64,20,0.001,30,30,70,2,Adam
20,0.00637675,0,0.011466784,0.004975124,64,20,0.001,30,50,30,1,Adam
20,0.004063775,0,0.012895618,0,64,20,0.001,30,50,30,2,Adam
20,0.004562853,0,0.009983147,0.004975124,64,20,0.001,30,50,50,1,Adam
20,0.005412752,0,0.013481591,0,64,20,0.001,30,50,50,2,Adam
20,0.006534098,0,0.011171366,0.004975124,64,20,0.001,30,50,70,1,Adam
20,0.002937617,0,0.010496984,0.004975124,64,20,0.001,30,50,70,2,Adam
