round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm_1_nodes,lstm_2_nodes,lstm_layers,optimizer
50,0.0007357737049460411,0.0,0.00017695904697248604,0.004854369,64,50,0.1,30,30,1,Adam
50,0.00022179745428729802,0.0,6.693216427557116e-05,0.004854369,64,50,0.1,30,30,2,Adam
50,0.0004535593034233898,0.0,0.00017911927659828577,0.004854369,64,50,0.1,30,50,1,Adam
50,0.0002052889612969011,0.0,7.899997436449392e-05,0.004854369,64,50,0.1,30,50,2,Adam
50,0.00012699661601800472,0.0,0.00011895518732716068,0.004854369,64,50,0.1,30,70,1,Adam
50,0.00011697502486640587,0.0,7.52421096391135e-05,0.004854369,64,50,0.1,30,70,2,Adam
50,0.00032520954846404493,0.0,0.0002801552170761002,0.004854369,64,50,0.1,50,30,1,Adam
50,0.002726404694840312,0.0,0.0008890757221927487,0.004854369,64,50,0.1,50,30,2,Adam
50,0.00018137555161956698,0.0,0.0001236119896576975,0.004854369,64,50,0.1,50,50,1,Adam
50,0.0011386943515390158,0.0,0.0001629506914115746,0.004854369,64,50,0.1,50,50,2,Adam
50,0.0003408875491004437,0.0,8.787123273207028e-05,0.004854369,64,50,0.1,50,70,1,Adam
50,0.001164872432127595,0.0,0.0003900823202571895,0.004854369,64,50,0.1,50,70,2,Adam
50,0.000986831379123032,0.0,0.00031831731750783554,0.004854369,64,50,0.1,70,30,1,Adam
50,0.0002374588802922517,0.0,0.00017118757888471292,0.004854369,64,50,0.1,70,30,2,Adam
50,0.0006405629101209342,0.0,0.0002017998499954029,0.004854369,64,50,0.1,70,50,1,Adam
50,0.0004458450130186975,0.0,0.0007096704500230048,0.004854369,64,50,0.1,70,50,2,Adam
50,0.0007567248539999127,0.0,0.0001476298954374003,0.004854369,64,50,0.1,70,70,1,Adam
50,0.00012760274694301188,0.0,0.00045378739890208447,0.004854369,64,50,0.1,70,70,2,Adam
50,3.658467539935373e-05,0.0,5.667185499440219e-05,0.004854369,64,50,0.01,30,30,1,Adam
50,8.675835852045566e-05,0.0,8.701919602033529e-05,0.004854369,64,50,0.01,30,30,2,Adam
50,3.412531077628955e-05,0.0,7.626291783893869e-05,0.004854369,64,50,0.01,30,50,1,Adam
50,2.5339442800031975e-05,0.0,7.151855546890677e-05,0.004854369,64,50,0.01,30,50,2,Adam
50,4.5018954551778734e-05,0.0,5.0953391021642005e-05,0.004854369,64,50,0.01,30,70,1,Adam
50,3.587570245144889e-05,0.0,8.01906477771835e-05,0.004854369,64,50,0.01,30,70,2,Adam
50,2.9870139769627713e-05,0.0,7.008928401526787e-05,0.004854369,64,50,0.01,50,30,1,Adam
50,4.9456612032372504e-05,0.0,7.39520573474295e-05,0.004854369,64,50,0.01,50,30,2,Adam
50,3.634890163084492e-05,0.0,6.150475873988239e-05,0.004854369,64,50,0.01,50,50,1,Adam
50,0.00011903171252924949,0.0,9.344385172386238e-05,0.004854369,64,50,0.01,50,50,2,Adam
50,3.1567338737659156e-05,0.0,6.150729861421267e-05,0.004854369,64,50,0.01,50,70,1,Adam
50,7.79055553721264e-05,0.0,7.55511160269696e-05,0.004854369,64,50,0.01,50,70,2,Adam
50,1.8702423403738067e-05,0.0,4.591631027191733e-05,0.004854369,64,50,0.01,70,30,1,Adam
50,5.8535712014418095e-05,0.0,7.331374726366723e-05,0.004854369,64,50,0.01,70,30,2,Adam
50,4.203290882287547e-05,0.0,7.546398516301318e-05,0.004854369,64,50,0.01,70,50,1,Adam
50,4.2853342165471986e-05,0.0,6.768438279588064e-05,0.004854369,64,50,0.01,70,50,2,Adam
50,2.6183615773334168e-05,0.0,5.266356936207231e-05,0.004854369,64,50,0.01,70,70,1,Adam
50,5.4496555094374344e-05,0.0,5.558031766977188e-05,0.004854369,64,50,0.01,70,70,2,Adam
50,0.001812988193705678,0.0,0.0009938321670842835,0.004854369,64,50,0.001,30,30,1,Adam
50,0.001213336130604148,0.0,0.0014719334826578648,0.004854369,64,50,0.001,30,30,2,Adam
50,0.0034672743640840054,0.0,0.002018917998461758,0.004854369,64,50,0.001,30,50,1,Adam
50,0.0010097571648657322,0.0,0.0010975486089168027,0.004854369,64,50,0.001,30,50,2,Adam
50,0.003168016206473112,0.0,0.0021286027379406307,0.004854369,64,50,0.001,30,70,1,Adam
50,0.0006319605745375156,0.0,0.0007736176957073395,0.004854369,64,50,0.001,30,70,2,Adam
50,0.0023208661004900932,0.0,0.001398985773139606,0.004854369,64,50,0.001,50,30,1,Adam
50,0.0008707267115823925,0.0,0.0010120143144147344,0.004854369,64,50,0.001,50,30,2,Adam
50,0.0015418287366628647,0.0,0.0009360275495779312,0.004854369,64,50,0.001,50,50,1,Adam
50,0.000945047358982265,0.0,0.0009905858128105552,0.004854369,64,50,0.001,50,50,2,Adam
50,0.0016794292023405433,0.0,0.001127792721234479,0.004854369,64,50,0.001,50,70,1,Adam
50,0.00038771930849179626,0.0,0.0008880899641527207,0.004854369,64,50,0.001,50,70,2,Adam
50,0.001407804200425744,0.0,0.0009843817181903326,0.004854369,64,50,0.001,70,30,1,Adam
50,0.0009022844024002552,0.0,0.0007581394702621093,0.004854369,64,50,0.001,70,30,2,Adam
50,0.002026131609454751,0.0,0.0011741039117129104,0.004854369,64,50,0.001,70,50,1,Adam
50,0.0002544931776355952,0.0,0.0006325716478863135,0.004854369,64,50,0.001,70,50,2,Adam
50,0.0017388835549354553,0.0,0.0011041052842928657,0.004854369,64,50,0.001,70,70,1,Adam
50,0.0004833319690078497,0.0,0.0005471685718184392,0.004854369,64,50,0.001,70,70,2,Adam
80,0.0002464220451656729,0.0,7.445326189960362e-05,0.004854369,64,80,0.1,30,30,1,Adam
80,0.00013670706539414823,0.0,4.8300197183547846e-05,0.004854369,64,80,0.1,30,30,2,Adam
80,0.00011744808580260724,0.0,7.089840780007788e-05,0.004854369,64,80,0.1,30,50,1,Adam
80,0.0004395129217300564,0.0,8.718469707143845e-05,0.004854369,64,80,0.1,30,50,2,Adam
80,0.0005063455319032073,0.0,9.177288397817728e-05,0.004854369,64,80,0.1,30,70,1,Adam
80,0.0002681390615180135,0.0,0.00011684887982323964,0.004854369,64,80,0.1,30,70,2,Adam
80,0.00021370053582359105,0.0,0.0001352944687399923,0.004854369,64,80,0.1,50,30,1,Adam
80,0.00032552744960412383,0.0,7.915612181888224e-05,0.004854369,64,80,0.1,50,30,2,Adam
80,0.00019120941578876227,0.0,7.039729370289139e-05,0.004854369,64,80,0.1,50,50,1,Adam
80,0.00017539056716486812,0.0,0.00013943461973098042,0.004854369,64,80,0.1,50,50,2,Adam
80,0.00015896288095973432,0.0,9.629291345792579e-05,0.004854369,64,80,0.1,50,70,1,Adam
80,0.0004006212984677404,0.0,0.0002389930002730412,0.004854369,64,80,0.1,50,70,2,Adam
80,0.00045881321420893073,0.0,0.00017665842658494264,0.004854369,64,80,0.1,70,30,1,Adam
80,0.000224445597268641,0.0,8.307186401651458e-05,0.004854369,64,80,0.1,70,30,2,Adam
80,0.000292277371045202,0.0,0.00017707172026224796,0.004854369,64,80,0.1,70,50,1,Adam
80,0.0006097513833083212,0.0,0.0009202008119793337,0.004854369,64,80,0.1,70,50,2,Adam
80,0.0001994668273255229,0.0,0.00013486302289060652,0.004854369,64,80,0.1,70,70,1,Adam
80,0.00023790949489921331,0.0,0.0002214844390587176,0.004854369,64,80,0.1,70,70,2,Adam
80,3.5718367143999785e-05,0.0,6.692082112829102e-05,0.004854369,64,80,0.01,30,30,1,Adam
80,3.979779648943804e-05,0.0,7.726165403281927e-05,0.004854369,64,80,0.01,30,30,2,Adam
80,3.543095226632431e-05,0.0,4.401220634533884e-05,0.004854369,64,80,0.01,30,50,1,Adam
80,0.00010746066982392222,0.0,5.982987349146516e-05,0.004854369,64,80,0.01,30,50,2,Adam
80,5.574223541771062e-05,0.0,6.90641535787382e-05,0.004854369,64,80,0.01,30,70,1,Adam
80,3.501210449030623e-05,0.0,6.491189723092954e-05,0.004854369,64,80,0.01,30,70,2,Adam
80,5.99035010964144e-05,0.0,5.4646224156191606e-05,0.004854369,64,80,0.01,50,30,1,Adam
80,2.5698314857436344e-05,0.0,6.014930288286459e-05,0.004854369,64,80,0.01,50,30,2,Adam
80,3.5592813219409436e-05,0.0,7.289425100909672e-05,0.004854369,64,80,0.01,50,50,1,Adam
80,4.8764839448267594e-05,0.0,5.96875326964525e-05,0.004854369,64,80,0.01,50,50,2,Adam
80,3.5018289054278284e-05,0.0,6.281055376675088e-05,0.004854369,64,80,0.01,50,70,1,Adam
80,3.9180660678539425e-05,0.0,4.940713474355204e-05,0.004854369,64,80,0.01,50,70,2,Adam
80,4.170935062575154e-05,0.0,4.058939934447091e-05,0.004854369,64,80,0.01,70,30,1,Adam
80,2.634325392136816e-05,0.0,5.7463301098464706e-05,0.004854369,64,80,0.01,70,30,2,Adam
80,3.8533507904503495e-05,0.0,5.936683893081669e-05,0.004854369,64,80,0.01,70,50,1,Adam
80,6.141750782262534e-05,0.0,5.2924036176635625e-05,0.004854369,64,80,0.01,70,50,2,Adam
80,2.9182594516896643e-05,0.0,5.7949992340370036e-05,0.004854369,64,80,0.01,70,70,1,Adam
80,1.8983992049470544e-05,0.0,5.440180476636793e-05,0.004854369,64,80,0.01,70,70,2,Adam
80,0.0011537221726030111,0.0,0.0010508811564718201,0.004854369,64,80,0.001,30,30,1,Adam
80,0.0001394055871060118,0.0,0.000521506795442654,0.004854369,64,80,0.001,30,30,2,Adam
80,0.0005551905487664044,0.0,0.000519255579966889,0.004854369,64,80,0.001,30,50,1,Adam
80,3.6920209822710603e-05,0.0,0.00036059354445490155,0.004854369,64,80,0.001,30,50,2,Adam
80,0.0006679670186713338,0.0,0.0004937166186474553,0.004854369,64,80,0.001,30,70,1,Adam
80,3.525382999214344e-05,0.0,0.0002918841144368414,0.004854369,64,80,0.001,30,70,2,Adam
80,0.0005083633586764336,0.0,0.00039810454924997773,0.004854369,64,80,0.001,50,30,1,Adam
80,5.7081466366071254e-05,0.0,0.00041410718474862643,0.004854369,64,80,0.001,50,30,2,Adam
80,0.0005188504001125693,0.0,0.0003753930883531829,0.004854369,64,80,0.001,50,50,1,Adam
80,3.318059680168517e-05,0.0,0.00029220257476605114,0.004854369,64,80,0.001,50,50,2,Adam
80,0.0009137083543464541,0.0,0.0006444597966037691,0.004854369,64,80,0.001,50,70,1,Adam
80,2.227910590590909e-05,0.0,0.00022751467029204664,0.004854369,64,80,0.001,50,70,2,Adam
80,0.0008619175059720874,0.0,0.0006508365198879422,0.004854369,64,80,0.001,70,30,1,Adam
80,3.9205991924973205e-05,0.0,0.0003132516070657853,0.004854369,64,80,0.001,70,30,2,Adam
80,0.00032272940734401345,0.0,0.00034492253156342696,0.004854369,64,80,0.001,70,50,1,Adam
80,6.436197145376354e-05,0.0,0.000226101706166711,0.004854369,64,80,0.001,70,50,2,Adam
80,0.0009113919804804027,0.0,0.0006821883465977186,0.004854369,64,80,0.001,70,70,1,Adam
80,8.005132258404046e-05,0.0,0.00020601273329535192,0.004854369,64,80,0.001,70,70,2,Adam
