round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm_layers,optimizer
50,4.2192790715489537e-05,0.0,0.0012706647114828229,0.01,128,50,0.1,50,50,2,Adam
50,2.280001535837073e-05,0.0,0.00020119814376812428,0.01,128,50,0.01,30,30,1,Adam
50,3.423483940423466e-05,0.0,0.000365079800831154,0.01,128,50,0.01,30,30,2,Adam
50,0.00011625946353888139,0.0,0.00046189693035557865,0.01,128,50,0.01,30,50,1,Adam
50,9.133915227721445e-06,0.0,0.00012737184879370035,0.01,128,50,0.01,30,50,2,Adam
50,3.217463017790578e-05,0.0,0.00026502122986130414,0.01,128,50,0.01,50,30,1,Adam
50,9.14044812816428e-06,0.0,0.00022166233509778976,0.01,128,50,0.01,50,30,2,Adam
50,7.267073669936508e-05,0.0,0.0004161272558849305,0.01,128,50,0.01,50,50,1,Adam
50,6.093764568504412e-06,0.0,0.00016517885436769574,0.01,128,50,0.01,50,50,2,Adam
50,0.003310778643935919,0.0,0.006756603419780731,0.01,128,50,0.001,30,30,1,Adam
50,0.003818478435277939,0.0,0.008336874879896641,0.01,128,50,0.001,30,30,2,Adam
50,0.004694500006735325,0.0,0.008991458266973496,0.01,128,50,0.001,30,50,1,Adam
50,0.00363885797560215,0.0,0.006290658805519342,0.01,128,50,0.001,30,50,2,Adam
50,0.0024262492079287767,0.0,0.00530147798359394,0.01,128,50,0.001,50,30,1,Adam
50,0.0015373786445707083,0.0,0.004620826952159405,0.01,128,50,0.001,50,30,2,Adam
50,0.0014302505878731608,0.0,0.0053137918561697,0.01,128,50,0.001,50,50,1,Adam
50,0.0006497622234746814,0.0,0.004426778880879283,0.01,128,50,0.001,50,50,2,Adam
80,8.830855949781835e-05,0.0,0.00014392070239409803,0.01,128,80,0.1,30,30,1,Adam
80,5.6953045714180917e-05,0.0,6.193296343553811e-05,0.01,128,80,0.1,30,30,2,Adam
80,1.1998830814263783e-05,0.0,4.8244744102703405e-05,0.01,128,80,0.1,30,50,1,Adam
80,6.480226147687063e-05,0.0,0.0002680545183829963,0.01,128,80,0.1,30,50,2,Adam
80,0.0002881624095607549,0.0,0.0003898852865677327,0.01,128,80,0.1,50,30,1,Adam
80,2.4506982299499214e-05,0.0,0.0002798334695398808,0.01,128,80,0.1,50,30,2,Adam
80,0.00017900040256790817,0.0,0.00011164945055497811,0.01,128,80,0.1,50,50,1,Adam
80,0.0008320926572196186,0.0,0.0015906199254095553,0.01,128,80,0.1,50,50,2,Adam
80,6.731133908033371e-06,0.0,9.774538892088459e-05,0.01,128,80,0.01,30,30,1,Adam
80,7.202292181318626e-05,0.0,7.264085754286497e-05,0.01,128,80,0.01,30,30,2,Adam
80,7.592581823701039e-05,0.0,0.00014928082178812475,0.01,128,80,0.01,30,50,1,Adam
80,6.835279054939747e-05,0.0,7.044094003504142e-05,0.01,128,80,0.01,30,50,2,Adam
80,5.9923309891019017e-05,0.0,7.894092908827588e-05,0.01,128,80,0.01,50,30,1,Adam
80,0.00011248352529946715,0.0,6.518683148897253e-05,0.01,128,80,0.01,50,30,2,Adam
80,3.761218977160752e-05,0.0,4.421358346007764e-05,0.01,128,80,0.01,50,50,1,Adam
80,4.3088752136100084e-05,0.0,4.33576456271112e-05,0.01,128,80,0.01,50,50,2,Adam
80,0.0012392358621582389,0.0,0.004708093181252479,0.01,128,80,0.001,30,30,1,Adam
80,0.00021058038691990077,0.0,0.002312639458104968,0.01,128,80,0.001,30,30,2,Adam
80,0.0018099542940035462,0.0,0.0044016982987523075,0.01,128,80,0.001,30,50,1,Adam
80,0.00040165692917071283,0.0,0.002917428491637111,0.01,128,80,0.001,30,50,2,Adam
80,0.00045321736251935363,0.0,0.003733426406979561,0.01,128,80,0.001,50,30,1,Adam
80,0.00030943311867304146,0.0,0.002178547875955701,0.01,128,80,0.001,50,30,2,Adam
80,0.00031087506795302033,0.0,0.002142638280056417,0.01,128,80,0.001,50,50,1,Adam
80,0.00011881260434165597,0.0,0.002031839801929891,0.01,128,80,0.001,50,50,2,Adam
