round_epochs,loss,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm_layers,optimizer
50,0.004297879,64,50,0.001,70,50,2,Adam
50,0.006335176,64,50,0.001,70,70,1,Adam
50,0.004207183,64,50,0.001,70,70,2,Adam
80,0.000869718,64,80,0.1,30,30,1,Adam
80,0.000891151,64,80,0.1,30,30,2,Adam
80,0.001341298,64,80,0.1,30,50,1,Adam
80,0.00104499,64,80,0.1,30,50,2,Adam
80,0.000749133,64,80,0.1,30,70,1,Adam
80,0.001286239,64,80,0.1,30,70,2,Adam
80,0.001183628,64,80,0.1,50,30,1,Adam
80,0.001215586,64,80,0.1,50,30,2,Adam
80,0.000935829,64,80,0.1,50,50,1,Adam
80,0.000756926,64,80,0.1,50,50,2,Adam
80,0.001920277,64,80,0.1,50,70,1,Adam
80,0.00145313,64,80,0.1,50,70,2,Adam
80,0.000515237,64,80,0.1,70,30,1,Adam
80,0.001203456,64,80,0.1,70,30,2,Adam
80,0.000594973,64,80,0.1,70,50,1,Adam
80,0.000803487,64,80,0.1,70,50,2,Adam
80,0.000820071,64,80,0.1,70,70,1,Adam
80,0.000854777,64,80,0.1,70,70,2,Adam
80,0.000588109,64,80,0.01,30,30,1,Adam
80,0.001048295,64,80,0.01,30,30,2,Adam
80,0.00067673,64,80,0.01,30,50,1,Adam
80,0.000658724,64,80,0.01,30,50,2,Adam
80,0.000779655,64,80,0.01,30,70,1,Adam
80,0.000908383,64,80,0.01,30,70,2,Adam
80,0.000546659,64,80,0.01,50,30,1,Adam
80,0.000431157,64,80,0.01,50,30,2,Adam
80,0.000496485,64,80,0.01,50,50,1,Adam
80,0.000876066,64,80,0.01,50,50,2,Adam
80,0.00034741,64,80,0.01,50,70,1,Adam
80,0.000530136,64,80,0.01,50,70,2,Adam
80,0.000420996,64,80,0.01,70,30,1,Adam
80,0.000509566,64,80,0.01,70,30,2,Adam
80,0.000394135,64,80,0.01,70,50,1,Adam
80,0.001174166,64,80,0.01,70,50,2,Adam
80,0.000381202,64,80,0.01,70,70,1,Adam
80,0.00049535,64,80,0.01,70,70,2,Adam
80,0.005014168,64,80,0.001,30,30,1,Adam
80,0.00392209,64,80,0.001,30,30,2,Adam
80,0.00475808,64,80,0.001,30,50,1,Adam
80,0.003721799,64,80,0.001,30,50,2,Adam
80,0.00442171,64,80,0.001,30,70,1,Adam
80,0.003478039,64,80,0.001,30,70,2,Adam
80,0.004060708,64,80,0.001,50,30,1,Adam
80,0.00303439,64,80,0.001,50,30,2,Adam
80,0.004453904,64,80,0.001,50,50,1,Adam
80,0.00211303,64,80,0.001,50,50,2,Adam
80,0.004028117,64,80,0.001,50,70,1,Adam
80,0.002414555,64,80,0.001,50,70,2,Adam
80,0.003258174,64,80,0.001,70,30,1,Adam
80,0.0022312,64,80,0.001,70,30,2,Adam
80,0.002324098,64,80,0.001,70,50,1,Adam
80,0.002420697,64,80,0.001,70,50,2,Adam
80,0.00287779,64,80,0.001,70,70,1,Adam
80,0.001985204,64,80,0.001,70,70,2,Adam
20,0.007248951,128,20,0.1,30,30,1,Adam
20,0.006325945,128,20,0.1,30,30,2,Adam
20,0.004406373,128,20,0.1,30,50,1,Adam
20,0.008558012,128,20,0.1,30,50,2,Adam
20,0.006613908,128,20,0.1,30,70,1,Adam
20,0.00935708,128,20,0.1,30,70,2,Adam
20,0.004651332,128,20,0.1,50,30,1,Adam
20,0.009024272,128,20,0.1,50,30,2,Adam
20,0.005333947,128,20,0.1,50,50,1,Adam
20,0.017884223,128,20,0.1,50,50,2,Adam
20,0.005920342,128,20,0.1,50,70,1,Adam
20,0.021936179,128,20,0.1,50,70,2,Adam
20,0.004143875,128,20,0.1,70,30,1,Adam
20,0.015822142,128,20,0.1,70,30,2,Adam
20,0.007345189,128,20,0.1,70,50,1,Adam
20,0.01553877,128,20,0.1,70,50,2,Adam
20,0.00461201,128,20,0.1,70,70,1,Adam
20,0.023063893,128,20,0.1,70,70,2,Adam
20,0.007227434,128,20,0.01,30,30,1,Adam
20,0.005831456,128,20,0.01,30,30,2,Adam
20,0.005958072,128,20,0.01,30,50,1,Adam
20,0.004243687,128,20,0.01,30,50,2,Adam
20,0.005229688,128,20,0.01,30,70,1,Adam
20,0.004736902,128,20,0.01,30,70,2,Adam
20,0.005059946,128,20,0.01,50,30,1,Adam
20,0.004033283,128,20,0.01,50,30,2,Adam
20,0.003628108,128,20,0.01,50,50,1,Adam
20,0.00490289,128,20,0.01,50,50,2,Adam
20,0.003806089,128,20,0.01,50,70,1,Adam
20,0.003435238,128,20,0.01,50,70,2,Adam
20,0.004267533,128,20,0.01,70,30,1,Adam
20,0.003692328,128,20,0.01,70,30,2,Adam
20,0.004133743,128,20,0.01,70,50,1,Adam
20,0.003740909,128,20,0.01,70,50,2,Adam
20,0.006717983,128,20,0.01,70,70,1,Adam
20,0.004854862,128,20,0.01,70,70,2,Adam
20,0.016865143,128,20,0.001,30,30,1,Adam
20,0.018435706,128,20,0.001,30,30,2,Adam
20,0.014846001,128,20,0.001,30,50,1,Adam
20,0.018523609,128,20,0.001,30,50,2,Adam
20,0.01763884,128,20,0.001,30,70,1,Adam
20,0.018758594,128,20,0.001,30,70,2,Adam
20,0.015415291,128,20,0.001,50,30,1,Adam
20,0.018899898,128,20,0.001,50,30,2,Adam
20,0.017511802,128,20,0.001,50,50,1,Adam
20,0.018268655,128,20,0.001,50,50,2,Adam
20,0.015932269,128,20,0.001,50,70,1,Adam
20,0.017429728,128,20,0.001,50,70,2,Adam
20,0.016651254,128,20,0.001,70,30,1,Adam
20,0.018056152,128,20,0.001,70,30,2,Adam
20,0.015497432,128,20,0.001,70,50,1,Adam
20,0.017614597,128,20,0.001,70,50,2,Adam
20,0.013423352,128,20,0.001,70,70,1,Adam
20,0.016252836,128,20,0.001,70,70,2,Adam
50,0.00155515,128,50,0.1,30,30,1,Adam
50,0.001614551,128,50,0.1,30,30,2,Adam
50,0.005334286,128,50,0.1,30,50,1,Adam
50,0.001538736,128,50,0.1,30,50,2,Adam
50,0.001591309,128,50,0.1,30,70,1,Adam
50,0.003028374,128,50,0.1,30,70,2,Adam
50,0.001446391,128,50,0.1,50,30,1,Adam
50,0.002058155,128,50,0.1,50,30,2,Adam
50,0.002686983,128,50,0.1,50,50,1,Adam
50,0.003317809,128,50,0.1,50,50,2,Adam
50,0.001855937,128,50,0.1,50,70,1,Adam
50,0.004950563,128,50,0.1,50,70,2,Adam
50,0.001304508,128,50,0.1,70,30,1,Adam
50,0.003697253,128,50,0.1,70,30,2,Adam
50,0.001377605,128,50,0.1,70,50,1,Adam
50,0.010701096,128,50,0.1,70,50,2,Adam
50,0.001357452,128,50,0.1,70,70,1,Adam
50,0.010113763,128,50,0.1,70,70,2,Adam
50,0.001816643,128,50,0.01,30,30,1,Adam
50,0.001511471,128,50,0.01,30,30,2,Adam
50,0.001312406,128,50,0.01,30,50,1,Adam
50,0.001817381,128,50,0.01,30,50,2,Adam
50,0.002038526,128,50,0.01,30,70,1,Adam
50,0.001680385,128,50,0.01,30,70,2,Adam
50,0.000760809,128,50,0.01,50,30,1,Adam
50,0.001275033,128,50,0.01,50,30,2,Adam
50,0.001116329,128,50,0.01,50,50,1,Adam
50,0.000906367,128,50,0.01,50,50,2,Adam
50,0.001174861,128,50,0.01,50,70,1,Adam
50,0.001837113,128,50,0.01,50,70,2,Adam
50,0.00063177,128,50,0.01,70,30,1,Adam
50,0.001293827,128,50,0.01,70,30,2,Adam
50,0.000621273,128,50,0.01,70,50,1,Adam
50,0.001062448,128,50,0.01,70,50,2,Adam
50,0.000708314,128,50,0.01,70,70,1,Adam
50,0.001651552,128,50,0.01,70,70,2,Adam
50,0.010200333,128,50,0.001,30,30,1,Adam
