round_epochs,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm3_nodes,lstm_layers,optimizer
20,0.012545097235995693,0.006802721,64,20,0.001,70,70,50,1,Adam
20,0.014109301665911868,0.006802721,64,20,0.001,70,70,50,2,Adam
20,0.011043335285772678,0.006802721,64,20,0.001,70,70,70,1,Adam
20,0.013116809973480548,0.006802721,64,20,0.001,70,70,70,2,Adam
50,4.3553182870889284e-05,0.006802721,64,50,0.1,30,30,30,1,Adam
50,3.097314020990216e-05,0.006802721,64,50,0.1,30,30,30,2,Adam
50,0.00018389503923751618,0.006802721,64,50,0.1,30,30,50,1,Adam
50,0.00030574739750690097,0.006802721,64,50,0.1,30,30,50,2,Adam
50,9.245731142035932e-05,0.006802721,64,50,0.1,30,30,70,1,Adam
50,0.0001518734185627763,0.006802721,64,50,0.1,30,30,70,2,Adam
50,0.00011572160678488032,0.006802721,64,50,0.1,30,50,30,1,Adam
50,3.7778027932649415e-05,0.006802721,64,50,0.1,30,50,30,2,Adam
50,0.00015936387459993787,0.006802721,64,50,0.1,30,50,50,1,Adam
50,8.77957673288793e-05,0.006802721,64,50,0.1,30,50,50,2,Adam
50,0.0001613929931396701,0.006802721,64,50,0.1,30,50,70,1,Adam
50,0.00034773796099890657,0.006802721,64,50,0.1,30,50,70,2,Adam
50,7.102243101571174e-05,0.006802721,64,50,0.1,30,70,30,1,Adam
50,6.700297347867868e-05,0.006802721,64,50,0.1,30,70,30,2,Adam
50,0.00012269905076574432,0.006802721,64,50,0.1,30,70,50,1,Adam
50,9.370303742879e-05,0.006802721,64,50,0.1,30,70,50,2,Adam
50,0.00019752827285294782,0.006802721,64,50,0.1,30,70,70,1,Adam
50,0.00016133453804670141,0.006802721,64,50,0.1,30,70,70,2,Adam
50,0.00012335390863040476,0.006802721,64,50,0.1,50,30,30,1,Adam
50,0.00019303306922962776,0.006802721,64,50,0.1,50,30,30,2,Adam
50,0.001040720171770271,0.006802721,64,50,0.1,50,30,50,1,Adam
50,0.0005467068887043263,0.006802721,64,50,0.1,50,30,50,2,Adam
50,0.001995146929501828,0.006802721,64,50,0.1,50,30,70,1,Adam
50,9.008157271915591e-05,0.006802721,64,50,0.1,50,30,70,2,Adam
50,0.00039193018580720363,0.006802721,64,50,0.1,50,50,30,1,Adam
50,0.00020329816574563405,0.006802721,64,50,0.1,50,50,30,2,Adam
50,0.0011424045379393969,0.006802721,64,50,0.1,50,50,50,1,Adam
50,4.7997801685800814e-05,0.006802721,64,50,0.1,50,50,50,2,Adam
50,0.023590577804312413,0.0,64,50,0.1,50,50,70,1,Adam
50,8.726725322618086e-05,0.006802721,64,50,0.1,50,50,70,2,Adam
50,0.0010150240878352807,0.006802721,64,50,0.1,50,70,30,1,Adam
50,0.007052460089832747,0.006802721,64,50,0.1,50,70,30,2,Adam
50,0.00040639843633335056,0.006802721,64,50,0.1,50,70,50,1,Adam
50,0.00013418937211644006,0.006802721,64,50,0.1,50,70,50,2,Adam
50,0.0009296082659485135,0.006802721,64,50,0.1,50,70,70,1,Adam
50,7.92948046931205e-05,0.006802721,64,50,0.1,50,70,70,2,Adam
50,0.009032142500640179,0.006802721,64,50,0.1,70,30,30,1,Adam
50,7.638135887763612e-05,0.006802721,64,50,0.1,70,30,30,2,Adam
50,0.0024086407379430978,0.006802721,64,50,0.1,70,30,50,1,Adam
50,0.000121180826830155,0.006802721,64,50,0.1,70,30,50,2,Adam
50,0.0024386451177324363,0.006802721,64,50,0.1,70,30,70,1,Adam
50,2.943340787540513e-05,0.006802721,64,50,0.1,70,30,70,2,Adam
50,0.00890466569270305,0.006802721,64,50,0.1,70,50,30,1,Adam
50,0.00045800358286684974,0.006802721,64,50,0.1,70,50,30,2,Adam
50,0.0005273413610784021,0.006802721,64,50,0.1,70,50,50,1,Adam
50,5.608234617092526e-05,0.006802721,64,50,0.1,70,50,50,2,Adam
50,0.015693432068591622,0.006802721,64,50,0.1,70,50,70,1,Adam
50,0.00015645590823636308,0.006802721,64,50,0.1,70,50,70,2,Adam
50,0.011545288104082452,0.006802721,64,50,0.1,70,70,30,1,Adam
50,0.0008506926432327957,0.006802721,64,50,0.1,70,70,30,2,Adam
50,0.006825501682097409,0.006802721,64,50,0.1,70,70,50,1,Adam
50,0.023596959657409565,0.0,64,50,0.1,70,70,50,2,Adam
50,0.0006535976672177615,0.006802721,64,50,0.1,70,70,70,1,Adam
50,0.0009645708673475247,0.006802721,64,50,0.1,70,70,70,2,Adam
50,0.00016206750915691471,0.006802721,64,50,0.01,30,30,30,1,Adam
50,0.00012315307165928452,0.006802721,64,50,0.01,30,30,30,2,Adam
50,0.00015026084664135182,0.006802721,64,50,0.01,30,30,50,1,Adam
50,0.00011692913379310313,0.006802721,64,50,0.01,30,30,50,2,Adam
50,0.00014946112114434023,0.006802721,64,50,0.01,30,30,70,1,Adam
50,0.00018830432389866004,0.006802721,64,50,0.01,30,30,70,2,Adam
50,0.00017487288842319833,0.006802721,64,50,0.01,30,50,30,1,Adam
50,0.00023508475076559248,0.006802721,64,50,0.01,30,50,30,2,Adam
50,0.00016558253541699655,0.006802721,64,50,0.01,30,50,50,1,Adam
50,0.00014838533106554603,0.006802721,64,50,0.01,30,50,50,2,Adam
50,0.00020730276832627893,0.006802721,64,50,0.01,30,50,70,1,Adam
50,0.00015230513933917736,0.006802721,64,50,0.01,30,50,70,2,Adam
50,0.00020006896459123715,0.006802721,64,50,0.01,30,70,30,1,Adam
50,0.0001452139790702871,0.006802721,64,50,0.01,30,70,30,2,Adam
50,0.00015374214433372767,0.006802721,64,50,0.01,30,70,50,1,Adam
50,9.405760093137534e-05,0.006802721,64,50,0.01,30,70,50,2,Adam
50,0.0001433611277559753,0.006802721,64,50,0.01,30,70,70,1,Adam
50,0.0003927839620175081,0.006802721,64,50,0.01,30,70,70,2,Adam
50,0.00023064195997316112,0.006802721,64,50,0.01,50,30,30,1,Adam
50,7.206496251901441e-05,0.006802721,64,50,0.01,50,30,30,2,Adam
50,0.00015768792549921136,0.006802721,64,50,0.01,50,30,50,1,Adam
50,8.683311217919872e-05,0.006802721,64,50,0.01,50,30,50,2,Adam
50,0.00019999634637655754,0.006802721,64,50,0.01,50,30,70,1,Adam
50,9.48031546223709e-05,0.006802721,64,50,0.01,50,30,70,2,Adam
50,0.0002359656151681093,0.006802721,64,50,0.01,50,50,30,1,Adam
50,8.510384607373508e-05,0.006802721,64,50,0.01,50,50,30,2,Adam
50,0.00015918031280629059,0.006802721,64,50,0.01,50,50,50,1,Adam
50,0.00010031221500205091,0.006802721,64,50,0.01,50,50,50,2,Adam
50,0.00020780061592576,0.006802721,64,50,0.01,50,50,70,1,Adam
50,9.203337111746334e-05,0.006802721,64,50,0.01,50,50,70,2,Adam
50,0.00016146491687161988,0.006802721,64,50,0.01,50,70,30,1,Adam
50,0.00016150923745174493,0.006802721,64,50,0.01,50,70,30,2,Adam
50,0.0001400843954432857,0.006802721,64,50,0.01,50,70,50,1,Adam
50,0.0001931975809081147,0.006802721,64,50,0.01,50,70,50,2,Adam
50,0.00012131673676875693,0.006802721,64,50,0.01,50,70,70,1,Adam
50,0.00023566257294412341,0.006802721,64,50,0.01,50,70,70,2,Adam
50,0.0001639829761250464,0.006802721,64,50,0.01,70,30,30,1,Adam
50,9.992354621534192e-05,0.006802721,64,50,0.01,70,30,30,2,Adam
50,0.0001351328219305312,0.006802721,64,50,0.01,70,30,50,1,Adam
50,0.000169675590527453,0.006802721,64,50,0.01,70,30,50,2,Adam
50,0.00013844212162748715,0.006802721,64,50,0.01,70,30,70,1,Adam
50,0.00011825666559557589,0.006802721,64,50,0.01,70,30,70,2,Adam
50,0.0002026813769286188,0.006802721,64,50,0.01,70,50,30,1,Adam
50,6.724305513380634e-05,0.006802721,64,50,0.01,70,50,30,2,Adam
50,0.0001513456694008054,0.006802721,64,50,0.01,70,50,50,1,Adam
50,5.3348364609414016e-05,0.006802721,64,50,0.01,70,50,50,2,Adam
50,0.00014804910629240124,0.006802721,64,50,0.01,70,50,70,1,Adam
50,8.102879742398814e-05,0.006802721,64,50,0.01,70,50,70,2,Adam
50,0.0002257004229757352,0.006802721,64,50,0.01,70,70,30,1,Adam
50,0.00010591854963892735,0.006802721,64,50,0.01,70,70,30,2,Adam
50,0.00013882274988707676,0.006802721,64,50,0.01,70,70,50,1,Adam
50,8.829533249982411e-05,0.006802721,64,50,0.01,70,70,50,2,Adam
50,0.00014244973150495327,0.006802721,64,50,0.01,70,70,70,1,Adam
50,7.678514234024753e-05,0.006802721,64,50,0.01,70,70,70,2,Adam
50,0.004514875311759256,0.006802721,64,50,0.001,30,30,30,1,Adam
50,0.00551312188712918,0.006802721,64,50,0.001,30,30,30,2,Adam
50,0.00439771869200833,0.006802721,64,50,0.001,30,30,50,1,Adam
50,0.003339097877888351,0.006802721,64,50,0.001,30,30,50,2,Adam
50,0.0031936775843872606,0.006802721,64,50,0.001,30,30,70,1,Adam
50,0.002902332116805372,0.006802721,64,50,0.001,30,30,70,2,Adam
50,0.0051169612438601705,0.006802721,64,50,0.001,30,50,30,1,Adam
50,0.0028852297873774757,0.006802721,64,50,0.001,30,50,30,2,Adam
50,0.0036090517141000957,0.006802721,64,50,0.001,30,50,50,1,Adam
50,0.0025206450040319134,0.006802721,64,50,0.001,30,50,50,2,Adam
50,0.004026064253253799,0.006802721,64,50,0.001,30,50,70,1,Adam
50,0.002105225962555023,0.006802721,64,50,0.001,30,50,70,2,Adam
50,0.004802891785012824,0.006802721,64,50,0.001,30,70,30,1,Adam
50,0.0030573852784728925,0.006802721,64,50,0.001,30,70,30,2,Adam
50,0.0037672786631298308,0.006802721,64,50,0.001,30,70,50,1,Adam
50,0.0021338804187823316,0.006802721,64,50,0.001,30,70,50,2,Adam
50,0.0034621114902781184,0.006802721,64,50,0.001,30,70,70,1,Adam
50,0.0014158153461393754,0.006802721,64,50,0.001,30,70,70,2,Adam
50,0.0030195308567284524,0.006802721,64,50,0.001,50,30,30,1,Adam
50,0.0028818030271451083,0.006802721,64,50,0.001,50,30,30,2,Adam
50,0.0029895822454218558,0.006802721,64,50,0.001,50,30,50,1,Adam
50,0.0021376777163130186,0.006802721,64,50,0.001,50,30,50,2,Adam
50,0.0026555964366855975,0.006802721,64,50,0.001,50,30,70,1,Adam
50,0.002154029349853494,0.006802721,64,50,0.001,50,30,70,2,Adam
50,0.003945985801049134,0.006802721,64,50,0.001,50,50,30,1,Adam
50,0.004058380456020434,0.006802721,64,50,0.001,50,50,30,2,Adam
50,0.002477258615683587,0.006802721,64,50,0.001,50,50,50,1,Adam
50,0.0023148642285872683,0.006802721,64,50,0.001,50,50,50,2,Adam
50,0.002378161771691778,0.006802721,64,50,0.001,50,50,70,1,Adam
50,0.0015058925808534077,0.006802721,64,50,0.001,50,50,70,2,Adam
50,0.003470883340429084,0.006802721,64,50,0.001,50,70,30,1,Adam
50,0.0015373810980038173,0.006802721,64,50,0.001,50,70,30,2,Adam
50,0.002296898895747909,0.006802721,64,50,0.001,50,70,50,1,Adam
50,0.0015984792610769774,0.006802721,64,50,0.001,50,70,50,2,Adam
50,0.0028327343404153677,0.006802721,64,50,0.001,50,70,70,1,Adam
50,0.0012818871673392956,0.006802721,64,50,0.001,50,70,70,2,Adam
50,0.0032017097236639283,0.006802721,64,50,0.001,70,30,30,1,Adam
50,0.0026605454793035173,0.006802721,64,50,0.001,70,30,30,2,Adam
50,0.0024701384035553655,0.006802721,64,50,0.001,70,30,50,1,Adam
50,0.0024813386020852493,0.006802721,64,50,0.001,70,30,50,2,Adam
50,0.0021199778373334178,0.006802721,64,50,0.001,70,30,70,1,Adam
50,0.0014552859479377719,0.006802721,64,50,0.001,70,30,70,2,Adam
50,0.0027172422372311556,0.006802721,64,50,0.001,70,50,30,1,Adam
50,0.0015195154008411226,0.006802721,64,50,0.001,70,50,30,2,Adam
50,0.002808904490706061,0.006802721,64,50,0.001,70,50,50,1,Adam
50,0.0020662642030210114,0.006802721,64,50,0.001,70,50,50,2,Adam
50,0.002481128426496776,0.006802721,64,50,0.001,70,50,70,1,Adam
50,0.0017192797136626073,0.006802721,64,50,0.001,70,50,70,2,Adam
50,0.003098167941531762,0.006802721,64,50,0.001,70,70,30,1,Adam
50,0.0021524613305014006,0.006802721,64,50,0.001,70,70,30,2,Adam
50,0.00234547372452826,0.006802721,64,50,0.001,70,70,50,1,Adam
50,0.0012770915595215879,0.006802721,64,50,0.001,70,70,50,2,Adam
50,0.0014919325421076444,0.006802721,64,50,0.001,70,70,70,1,Adam
50,0.0010235806385397303,0.006802721,64,50,0.001,70,70,70,2,Adam
80,3.2944077284643144e-05,0.006802721,64,80,0.1,30,30,30,1,Adam
80,4.791329871406969e-05,0.006802721,64,80,0.1,30,30,30,2,Adam
80,0.00021940056091256845,0.006802721,64,80,0.1,30,30,50,1,Adam
80,4.818704142393608e-05,0.006802721,64,80,0.1,30,30,50,2,Adam
80,8.361251016727927e-05,0.006802721,64,80,0.1,30,30,70,1,Adam
80,0.00011353625866052295,0.006802721,64,80,0.1,30,30,70,2,Adam
80,0.00010134063864627309,0.006802721,64,80,0.1,30,50,30,1,Adam
80,0.00013713974352818313,0.006802721,64,80,0.1,30,50,30,2,Adam
80,0.0002832335771772643,0.006802721,64,80,0.1,30,50,50,1,Adam
80,0.00027013236583926445,0.006802721,64,80,0.1,30,50,50,2,Adam
80,4.779516015345148e-05,0.006802721,64,80,0.1,30,50,70,1,Adam
80,4.66655557062461e-05,0.006802721,64,80,0.1,30,50,70,2,Adam
80,7.894247316477779e-05,0.006802721,64,80,0.1,30,70,30,1,Adam
80,6.167096387575932e-05,0.006802721,64,80,0.1,30,70,30,2,Adam
80,8.943963066918687e-05,0.006802721,64,80,0.1,30,70,50,1,Adam
80,3.54012707396819e-05,0.006802721,64,80,0.1,30,70,50,2,Adam
80,9.409624542312405e-05,0.006802721,64,80,0.1,30,70,70,1,Adam
80,3.0841948507079653e-05,0.006802721,64,80,0.1,30,70,70,2,Adam
80,0.00015258689248240647,0.006802721,64,80,0.1,50,30,30,1,Adam
80,4.8697826814470295e-05,0.006802721,64,80,0.1,50,30,30,2,Adam
80,0.00041538112017573144,0.006802721,64,80,0.1,50,30,50,1,Adam
80,0.00027597425512448394,0.006802721,64,80,0.1,50,30,50,2,Adam
80,0.0005451028932560692,0.006802721,64,80,0.1,50,30,70,1,Adam
80,9.739153118024827e-05,0.006802721,64,80,0.1,50,30,70,2,Adam
80,5.304083576763277e-05,0.006802721,64,80,0.1,50,50,30,1,Adam
80,0.00020909608909179184,0.006802721,64,80,0.1,50,50,30,2,Adam
80,0.00012116394930603902,0.006802721,64,80,0.1,50,50,50,1,Adam
80,4.4585187300931994e-05,0.006802721,64,80,0.1,50,50,50,2,Adam
80,0.003375513924184401,0.006802721,64,80,0.1,50,50,70,1,Adam
80,0.0003123635023857663,0.006802721,64,80,0.1,50,50,70,2,Adam
80,0.00019221788360959007,0.006802721,64,80,0.1,50,70,30,1,Adam
80,0.00013462773945537352,0.006802721,64,80,0.1,50,70,30,2,Adam
80,0.00030139723371359564,0.006802721,64,80,0.1,50,70,50,1,Adam
80,9.552618996699524e-05,0.006802721,64,80,0.1,50,70,50,2,Adam
80,0.00023860189675465923,0.006802721,64,80,0.1,50,70,70,1,Adam
80,9.334556341941824e-05,0.006802721,64,80,0.1,50,70,70,2,Adam
80,0.0016477597421225235,0.006802721,64,80,0.1,70,30,30,1,Adam
80,8.635264231354556e-05,0.006802721,64,80,0.1,70,30,30,2,Adam
80,0.0033556888051026936,0.006802721,64,80,0.1,70,30,50,1,Adam
80,3.761109214143029e-05,0.006802721,64,80,0.1,70,30,50,2,Adam
80,0.02362082581206852,0.0,64,80,0.1,70,30,70,1,Adam
