Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,MA_20_L1,MA_20_L2,BIAS_24_L1
2017-01-04,19594.16015625,163500000.0,19331.690234375,19152.07685546875,19902.283596080684,18401.87011485681,60.32905435043392,19281.213990523644,18948.71941861357,332.4945719100688,385.109208217636,-52.6146363075672,2.5101064654300798,1.3009934482389067,1.136229793801812,2.9924879398996183,0.4166666666666667,0.5833333333333334,0.0,100.0,33.333333333333265,1.7687633244091407,479.791015625,19114.369140625,19093.6728515625,19063.6103515625,0.7435612667222556
2017-01-05,19520.689453125,134500000.0,19355.216015625,19214.36181640625,19862.907381091936,18565.816251720564,57.310983569193795,19318.05636938539,18991.087569318126,326.96880006726497,373.4811265875618,-46.512326520296824,-0.3749622466036895,0.8133956652341116,0.6501176443358447,2.334296501475053,0.3333333333333333,0.5833333333333334,15.313063548989835,84.68693645101017,61.562312150336645,1.281016357626229,-73.470703125,19594.16015625,19152.07685546875,19093.6728515625,2.9924879398996183
2017-01-06,19454.330078125,119100000.0,19365.737890625,19269.0513671875,19792.8469913802,18745.255742994806,52.822240762402814,19339.02155534533,19025.401829229748,313.6197261155831,361.50884649316606,-47.889120377583026,-0.3399438076167784,0.4263688924729693,0.28504880215745865,1.7317935147675398,0.25,0.5416666666666666,29.14395509112448,70.85604490887553,85.18099378662849,0.27410584645381353,-66.359375,19520.689453125,19214.36181640625,19152.07685546875,2.334296501475053
2017-01-10,19301.439453125,119100000.0,19396.99765625,19309.2888671875,19695.017842845096,18923.559891529905,45.269142172671145,19333.239693465282,19045.8490606294,287.39063283588257,346.6852037617094,-59.2945709258268,-0.7858950906354497,-0.2768378805120724,-0.4645358709142983,0.7592203758640905,0.25,0.5,61.01004262109561,38.98995737890439,64.84431291292996,-0.4649443989469103,-152.890625,19454.330078125,19269.0513671875,19214.36181640625,1.7317935147675398
2017-01-11,19364.669921875,119100000.0,19447.0578125,19339.248828125,19633.63330250333,19044.86435374667,62.66738794784237,19338.075113220617,19069.465420721666,268.6096924989579,331.07010150915914,-62.460409010201204,0.3275945760602983,-0.13892492197338602,-0.08270333059218231,0.8833438741185408,0.25,0.5416666666666666,47.83129047884618,52.16870952115382,54.00490393631119,-0.6661323955168111,63.23046875,19301.439453125,19309.2888671875,19269.0513671875,0.7592203758640905
2017-01-12,19134.69921875,119100000.0,19355.165625,19346.16533203125,19613.234010780634,19079.096653281867,50.95382528933647,19306.786514071293,19074.297553908942,232.48896016234718,311.35387323979666,-78.8649130774495,-1.1875787403183011,-1.3420925719914696,-1.1376109794378462,-0.500407736126077,0.25,0.5416666666666666,95.7627222138545,4.237277786145498,31.798648228734514,-1.5932071856393286,-229.970703125,19364.669921875,19339.248828125,19309.2888671875,0.8833438741185408
2017-01-13,19287.279296875,119100000.0,19308.48359375,19352.77783203125,19606.820534710158,19098.735129352342,29.22274558134737,19303.7854037334,19090.073979313842,213.7114244195618,291.82538347574973,-78.11395905618792,0.7973999297333481,-0.2924543794878896,-0.28901122725745537,0.09202514862194533,0.3333333333333333,0.5416666666666666,63.961360129939386,36.038639870060614,30.81487572578659,-0.7226323360678687,152.580078125,19134.69921875,19346.16533203125,19339.248828125,-0.500407736126077
2017-01-16,19095.240234375,119100000.0,19236.665625,19345.0138671875,19619.73253966812,19070.295194706883,25.180028257599925,19271.701531524417,19090.456664873924,181.24486665049332,269.70928011069844,-88.4644134602051,-0.9956773039062844,-0.9220325051914564,-1.1534608488867648,-1.0326569401335932,0.3333333333333333,0.5,100.0,0.0,13.42530588540198,-1.5538793363863748,-192.0390625,19287.279296875,19352.77783203125,19346.16533203125,0.09202514862194533
2017-01-17,18813.529296875,119100000.0,19139.08359375,19323.00986328125,19681.280511974568,18964.73921458793,20.123661397246302,19201.21349542451,19069.943526503634,131.26996892087482,242.02141787273368,-110.75144895185888,-1.4752940211397163,-1.8397734408197333,-2.3634392573438867,-2.5028347923516736,0.25,0.4583333333333333,100.0,0.0,12.012879956686813,-3.038341547075923,-281.7109375,19095.240234375,19345.0138671875,19352.77783203125,-1.0326569401335932
2017-01-18,18894.369140625,119100000.0,19045.0234375,19304.0388671875,19707.994680763848,18900.083053611153,29.654034635584456,19154.0066716092,19056.93801643855,97.06865517064944,213.03086533231686,-115.96221016166744,0.4296899453279498,-1.0677847446012885,-1.7282800709128885,-2.062328766265184,0.3333333333333333,0.4583333333333333,89.64429310228356,11.43161743991427,3.810539146638033,-2.6149823011228164,80.83984375,18813.529296875,19323.00986328125,19345.0138671875,-2.5028347923516736
2017-01-19,19072.25,170600000.0,19032.53359375,19287.59384765625,19701.06407735394,18874.12361795856,36.88725168201986,19141.428722130866,19058.072237443102,83.3564846877598,187.09598920340545,-103.73950451564563,0.9414490531601624,0.11910406674256335,-0.7717530228756863,-1.122617825643907,0.4166666666666667,0.4583333333333333,66.85748455651104,40.37459233746838,17.268736592460822,-0.3807265061548745,177.880859375,18894.369140625,19304.0388671875,19323.00986328125,-2.062328766265184
