Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,MA_20_L1,MA_20_L2
2012-01-04,8560.110352,106000000,8455.705859,8497.240527,8733.763593000001,8260.717461,75.31071025,8460.364873,8484.053904999999,-23.68903172,-34.89900074,11.20996902,1.2389877059999999,1.187585253,1.6794150540000001,0.658641878,0.5,0.5,0.0,100.0,80.99905659,0.48104054399999996,104.7607422,8455.349609,8501.422509999999,8508.524023
2012-01-05,8488.709961,77700000,8465.335938,8486.877002,8705.116759,8268.637245,51.49648299,8464.725656,8484.398798,-19.67314202,-31.85382899,12.18068697,-0.83410596,0.325053145,0.7202966340000001,-0.18628340399999999,0.5,0.45833333299999995,27.04660299,56.71397024,81.20675801,1.329054849,-71.40039063,8560.110352,8497.240527,8501.422509999999
2012-01-06,8390.349609,101300000,8458.681836,8477.636475,8695.791847,8259.481102,43.26314548,8453.283187,8477.432191,-24.14900415,-30.31286402,6.163859875,-1.1587196640000001,-0.7392618329999999,-0.435575819,-1.321446292,0.41666666700000005,0.45833333299999995,64.30569017,0.0,52.23799008,-0.13533083199999998,-98.36035156,8488.709961,8486.877002,8497.240527
2012-01-10,8422.259766,112300000,8463.355859000001,8462.640967,8650.647084,8274.63485,49.82452604,8448.510353,8473.345345,-24.83499188,-29.2172896,4.382297714,0.380319745,-0.35908104,-0.181423125,-0.861075355,0.5,0.45833333299999995,52.21806264,18.79713521,25.17036849,1.520465551,31.91015625,8390.349609,8477.636475,8486.877002
2012-01-11,8447.879883,106200000,8461.861914,8451.805956999999,8615.404268,8288.207645999999,56.30485929,8448.413358,8471.459014,-23.04565678,-27.98296303,4.937306256,0.304195286,-0.152428646,0.012183643000000001,-0.463878432,0.5,0.45833333299999995,42.5131138,33.8890327,17.56205597,1.336288311,25.62011719,8422.259766,8462.640967,8477.636475
2012-01-12,8385.589844,84800000,8426.957812999999,8444.262451,8605.446954000001,8283.077948,41.15491102,8438.748201999999,8465.098334999999,-26.35013345,-27.65639712,1.306263665,-0.737345227,-0.7522657229999999,-0.6523392889999999,-1.0470178959999998,0.41666666700000005,0.41666666700000005,78.03988699,0.0,17.56205597,-0.8793238390000001,-62.29003906,8447.879883,8451.805956999999,8462.640967
2012-01-13,8500.019531,109800000,8429.219727,8436.572412000001,8569.172443000001,8303.972381,42.56321503,8448.17456,8467.68509,-19.51053032,-26.02722376,6.516693436000001,1.3645991469999998,0.72145744,0.599211555,0.340364671,0.5,0.45833333299999995,34.43195362,65.56804638,33.15235969,1.249045558,114.4296875,8385.589844,8444.262451,8451.805956999999
2012-01-16,8378.360352,76500000,8426.821875,8427.849951,8551.356859,8304.343043,37.85417007,8437.433912999999,8461.068443,-23.63453046,-25.548685100000004,1.914154636,-1.431281178,-0.503314395,-0.741792305,-0.9282504770000001,0.41666666700000005,0.41666666700000005,100.0,0.0,21.85601546,-1.190888607,-121.6591797,8500.019531,8436.572412000001,8444.262451
2012-01-17,8466.400391,85500000,8435.65,8425.213477,8542.929127,8307.497826,58.56525679,8441.890293999999,8461.463402,-19.5731083,-24.35356974,4.780461433999999,1.050802727,0.39108811200000004,0.275634039,0.210646305,0.5,0.45833333299999995,51.55981345,48.44018655,38.00274431,0.306150559,88.04003906,8378.360352,8427.849951,8436.572412000001
2012-01-18,8550.580078,136200000,8456.190039,8433.873975,8561.320109,8306.427840999999,62.92981296,8458.611799,8468.064637000001,-9.452838286,-21.37342345,11.92058516,0.994279548,1.132788574,1.1459092659999999,1.19997297,0.583333333,0.5,5.243616747,100.0,49.48006218,1.5071900109999998,84.1796875,8466.400391,8425.213477,8427.849951
2012-01-19,8639.679688,125100000,8507.008008,8445.771973,8600.499754999999,8291.04419,67.13421539,8486.468397,8480.776863,5.691533993999999,-15.96043196,21.65196595,1.042029998,1.8017221,1.957871395,2.261638119,0.666666667,0.5,0.0,100.0,82.81339552,2.866927048,89.09960938,8550.580078,8433.873975,8425.213477
2012-01-20,8766.360352,177500000,8560.276172,8469.283984,8663.720797,8274.847172,80.50611282,8529.528698,8501.931196,27.59750219,-7.248845131,34.84634732,1.466265749,2.527731619,3.1373926510000003,3.651900775,0.666666667,0.541666667,0.0,100.0,100.0,3.678271823,126.68066409999999,8639.679688,8445.771973,8433.873975
2012-01-23,8765.900391,119900000,8637.78418,8490.75498,8714.430109,8267.079851999999,76.06066291,8565.893574,8521.484468999999,44.40910429,3.082744753,41.32635953,-0.005246886,1.993746943,2.9243187180000003,3.520608348,0.583333333,0.541666667,0.11854663300000001,99.88145337,99.96048446,2.404058249,-0.459960938,8766.360352,8469.283984,8445.771973
