Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,RDP_L1,BIAS_24_L1
2018-01-04,23506.330078125,102200000.0,22971.830078125,22807.39248046875,23294.487823930067,22320.297137007423,80.51127926447822,22924.495326090986,22755.5218651268,168.9734609641855,156.9992400154527,11.974220948732807,3.256721268802792,2.351008454738361,2.6544909022413394,3.1363513459056467,0.5,0.5,0.0,100.0,33.333333333333265,3.5774424466059727,741.390625,22764.939453125,-0.08357194499493288,0.07004656310653627
2018-01-05,23714.529296875,101900000.0,23136.198046875,22861.99990234375,23480.924431082472,22243.07537360503,83.39510773646585,23046.039013903912,22826.559452663707,219.47956124020854,169.49530426040388,49.98425697980469,0.8857155415500197,2.6797990080976213,3.1278691763759783,3.837740304478365,0.5833333333333334,0.5,0.0,100.0,66.66666666666661,5.149191811833277,208.19921875,23506.330078125,3.256721268802792,3.1363513459056467
2018-01-09,23849.990234375,94100000.0,23323.95390625,22945.6474609375,23621.27355934745,22270.021362527543,88.29681835229404,23169.72381705331,22902.369140197872,267.354676855437,189.0671787794105,78.28749807602648,0.5712149535173379,2.5578268894192484,3.36177003943586,4.21696668393987,0.5833333333333334,0.5,0.0,100.0,99.99999999999994,4.140381824343882,135.4609375,23714.529296875,0.8857155415500197,3.837740304478365
2018-01-10,23788.19921875,88800000.0,23524.79765625,23010.15595703125,23746.180093414423,22274.131820648083,83.90995568471197,23264.8738788528,22967.986183053585,296.88769579921427,210.63128218337127,86.25641361584299,-0.2590819326036477,1.653201440890441,2.7524987880656653,3.7638607495108816,0.5833333333333334,0.4583333333333333,5.694757949836737,94.30524205016327,98.10174735005435,4.0239602009358055,-61.791015625,23849.990234375,0.5712149535173379,4.21696668393987
2018-01-11,23710.4296875,83700000.0,23713.895703125,23055.1234375,23844.929521639904,22265.317353360097,87.24711425206125,23333.42092633698,23022.981998197763,310.4389281392214,230.59281137454133,79.84611676468009,-0.3269248358602176,0.656712051876297,2.115641248545226,3.236385797151296,0.5,0.4583333333333333,12.862121228485131,87.13787877151485,93.814373607226,3.576441434842581,-77.76953125,23788.19921875,-0.2590819326036477,3.7638607495108816
2018-01-12,23653.8203125,93700000.0,23743.39375,23090.8779296875,23920.12954451243,22261.62631486257,84.68882672622088,23382.713139592837,23069.71076222015,313.0023773726825,247.07472457416958,65.92765279851298,-0.2387530540192788,-0.2112009463990808,1.5846453083720105,2.797548495175183,0.5,0.4583333333333333,18.07933096449259,81.92066903550742,87.78792995239513,3.4449281538248786,-56.609375,23710.4296875,-0.3269248358602176,3.236385797151296
2018-01-15,23714.880859375,75400000.0,23743.4640625,23133.3134765625,23998.31771448977,22268.30923863523,67.35347270977975,23433.815865713168,23117.501139787182,316.3147259259895,260.9227248445336,55.39200108145592,0.25814243140560345,-0.100093099623426,1.5517210279953226,2.776708001889984,0.5,0.5,12.451894172579768,87.54810582742023,85.53555121148077,3.54595298584462,61.060546875,23653.8203125,-0.2387530540192788,2.797548495175183
2018-01-16,23951.810546875,68500000.0,23763.828125,23193.00048828125,24109.410974115726,22276.590002446774,68.84317825080808,23513.50735512268,23179.301836608494,334.2055185141835,275.5792835784636,58.626234935719935,0.9990760185764822,0.7301736651790546,2.1970040775834,3.5317344470565906,0.5,0.5,0.0,100.0,89.82292495430914,4.414416178651768,236.9296875,23714.880859375,0.25814243140560345,2.776708001889984
2018-01-17,23868.33984375,82200000.0,23779.85625,23251.69501953125,24183.11005156136,22320.279987501144,51.58835085393934,23568.09696875765,23230.34168898935,337.7552797683056,288.01448281643195,49.74079695187368,-0.3484943359987057,0.3662259590212879,1.488781837142287,2.974850646277138,0.5,0.4583333333333333,7.03283646931434,81.26276930631428,89.6036250445781,4.26184259661906,-83.470703125,23951.810546875,0.9990760185764822,3.5317344470565906
2018-01-18,23763.369140625,99400000.0,23790.444140625,23312.20244140625,24210.911613823617,22413.49326898888,48.00018876531754,23598.138841352633,23269.825203925324,328.31363742730537,296.07431373860663,32.23932368869873,-0.4397905502107509,-0.05778355207146579,0.7382647316840802,2.3702247580014704,0.4166666666666667,0.4166666666666667,15.877158626772733,36.7625564491286,72.67510858514756,3.719393992092436,-104.970703125,23868.33984375,-0.3484943359987057,2.974850646277138
2018-01-19,23808.060546875,71800000.0,23821.2921875,23357.5169921875,24260.26200598779,22454.7719783872,58.305723467112415,23630.43448835607,23309.694488588262,320.7399997678076,301.0074509444468,19.732548823360787,0.1880684762565809,0.0616992558986061,0.5639061017877144,2.3896453611322825,0.5,0.4583333333333333,12.111677566079404,51.7601641203112,56.59516329191797,4.494737342009248,44.69140625,23763.369140625,-0.4397905502107509,2.3702247580014704
2018-01-22,23816.330078125,65200000.0,23841.58203125,23404.93349609375,24299.434347411592,22510.432644775905,65.06414550510739,23659.033809858985,23347.223050776167,311.81075908281485,303.16811257212044,8.642646510694476,0.034734165908719694,-0.01735940552146111,0.2279081203975552,2.2313455632580292,0.5833333333333334,0.5,11.414926984356846,54.53526554849874,47.68599537264611,4.618464402968894,8.26953125,23808.060546875,0.1880684762565809,2.3896453611322825
2018-01-23,24124.150390625,73400000.0,23876.05,23466.55498046875,24380.732237768218,22552.377723169284,76.02991230031552,23730.590206899906,23404.773224098306,325.81698280160714,307.69788661801783,18.119096183589306,1.2924758411151225,0.9857123322474998,1.3038366283596676,3.2885445723233167,0.5833333333333334,0.5416666666666666,0.0,100.0,68.76514322293659,2.6283146303426745,307.8203125,23816.330078125,0.034734165908719694,2.2313455632580292
2018-01-24,23940.779296875,79900000.0,23890.537890625,23520.28896484375,24413.0594299558,22627.518499731694,49.24711001151729,23762.926989973,23444.47737763732,318.4496123356803,309.84823176155027,8.601380574130019,-0.7601142041514577,0.2258192576224152,0.45427835892681606,2.2503262270602904,0.5,0.5416666666666666,29.68032776520277,61.01225452537074,71.84917335795646,0.954056465416812,-183.37109375,24124.150390625,1.2924758411151225,3.2885445723233167
