Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,MA_20_L1,BBands_up_L1,BBands_up_L2
2017-01-03,19881.759765625,339180000,19848.571484375,19774.0154296875,20189.69368809837,19358.337171276627,44.33711534336043,19820.903927400992,19602.787807502227,218.11611989876477,266.17069399873185,-48.054574099967105,0.6029579033391573,0.09556453200206658,-0.004075033331699486,1.0748839680022906,0.5,0.6666666666666666,43.79755697625145,56.20244302374855,18.7341476745828,0.4508290345897753,119.16015625,19762.599609375,19738.4484375,20226.579679900537,20252.7181849576
2017-01-04,19942.16015625,280010000,19847.995703125,19810.31142578125,20143.404075503568,19477.21877605893,51.11856530589817,19839.5587318393,19627.92650000206,211.6322318372404,255.2630015664336,-43.630769729193155,0.3037980105233469,0.3926192812517386,0.2619239648763054,1.2060359535470953,0.5,0.6666666666666666,15.30943125080605,98.4219935980473,51.541478873931894,0.452945968885163,60.400390625,19881.759765625,19774.0154296875,20189.69368809837,20226.579679900537
2017-01-05,19899.2890625,269920000,19861.117578125,19842.6869140625,20057.045959815965,19628.327868309025,44.35005354713596,19848.74801347941,19648.027430557464,200.7205829219456,244.354517837536,-43.63393491559036,-0.2149771810781688,0.2152663870514529,0.022966763053217456,0.8230865289834549,0.5,0.625,35.52978241243989,74.92318727317496,76.5158746316569,0.2815993108543394,-42.87109375,19942.16015625,19810.31142578125,20143.404075503568,20189.69368809837
2017-01-06,19963.80078125,277700000,19889.921875,19863.39599609375,20036.573090367674,19690.218901819826,68.17214742400768,19866.448439290267,19671.418049127282,195.03039016298862,234.4896923026265,-39.45930213963789,0.3241910730950266,0.4304675502592469,0.3133065408291433,0.9853896770364045,0.5,0.625,5.102529616596349,100.0,91.11506029040736,0.4060754841270644,64.51171875,19899.2890625,19842.6869140625,20057.045959815965,20143.404075503568
2017-01-09,19887.380859375,287510000,19914.878125,19877.02451171875,20007.42186540781,19746.627158029693,58.03741442889122,19869.668811611,19687.415294330815,182.25351728017998,224.04245729813718,-41.78894001795726,-0.3827924487544155,-0.010646387260178304,-0.03416841806671832,0.4470374879343312,0.4166666666666667,0.625,41.146341912780734,62.018152696209285,78.98044665646137,-0.4367456552529309,-76.419921875,19963.80078125,19863.39599609375,20036.573090367674,20057.045959815965
2017-01-10,19855.529296875,299410000,19909.63203125,19881.95849609375,20000.74443997445,19763.17255221305,61.756856931060035,19867.49350165161,19699.868183408165,167.62531824344842,212.75902948719943,-45.13371124375104,-0.16015966469000886,-0.24846716871208466,-0.1581258619726371,0.15141994387631436,0.4166666666666667,0.5833333333333334,56.16927980544246,46.187448429840316,69.40186704201649,-0.4334159559126857,-31.8515625,19887.380859375,19877.02451171875,20007.42186540781,20036.573090367674
2017-01-11,19954.279296875,336150000,19912.055859375,19889.8509765625,20005.799067092204,19773.902886032796,59.67430953621678,19880.84516245521,19718.713451072374,162.13171138283727,202.63356586632702,-40.50185448348978,0.4973425715502933,0.18680482937970885,0.3235491153651927,0.5011334312401483,0.5,0.5833333333333334,4.732320535844294,95.2676794641557,67.82442686340174,0.17771298372588742,98.75,19855.529296875,19881.95849609375,20000.74443997445,20007.42186540781
2017-01-12,19891.0,306290000,19910.398046875,19888.8404296875,20004.37782338146,19773.303035993544,43.22711429664794,19882.407445154407,19731.475417659603,150.93202749480406,192.2932581920224,-41.36123069721836,-0.31712143512449503,-0.08813576337960702,0.023342268435033283,0.11070228830492708,0.4166666666666667,0.5416666666666666,36.18308013396108,63.81691986603892,68.42401592001161,-0.21476348826698044,-63.279296875,19954.279296875,19889.8509765625,20005.799067092204,20000.74443997445
2017-01-13,19885.73046875,263780000,19894.783984375,19893.50048828125,20000.312436434422,19786.68854012808,48.00657010601762,19882.918679553728,19742.90171774037,140.016961813355,181.8379989162889,-41.82103710293393,-0.02649203785631693,-0.10326544235683846,0.021702572458055742,0.027351616050192533,0.3333333333333333,0.5,38.80211619667039,27.893929827726165,62.32617638597356,-0.2973601283213832,-5.26953125,19891.0,19888.8404296875,20004.37782338146,20005.799067092204
2017-01-17,19826.76953125,341900000,19882.66171875,19892.226953125,20001.554109476554,19782.899796773443,29.51891639420832,19874.28034904546,19749.114148370714,125.16620067474649,170.50363926798045,-45.33743859323394,-0.29649872602193744,-0.28505473621644023,-0.2719719736437505,-0.28384097403965736,0.3333333333333333,0.4583333333333333,68.10658641945348,0.0,30.570283231254997,-0.03484051552145951,-58.9609375,19885.73046875,19893.50048828125,20000.312436434422,20004.37782338146
2017-01-18,19804.720703125,279760000,19872.5,19890.29248046875,20004.276300392605,19776.30866054489,35.2476959328509,19863.578865057694,19753.233152426583,110.34571263111137,158.47205394060663,-48.126341309495245,-0.11120736583056404,-0.32688434830152185,-0.3765886358271812,-0.396463240522216,0.3333333333333333,0.4166666666666667,79.06518468184245,0.0,9.297976609242019,-0.07597760562537799,-22.048828125,19826.76953125,19892.226953125,20001.554109476554,20000.312436434422
2017-01-19,19732.400390625,301750000,19828.12421875,19882.75947265625,20015.954249626186,19749.56469568632,30.798845043310877,19843.397561298818,19751.689984885732,91.70757641309321,145.11915843510394,-53.41158202201075,-0.3651670406469733,-0.588184753988131,-0.7278134085692144,-0.7229830671561219,0.3333333333333333,0.375,100.0,0.0,0.0,-0.15280995085117274,-72.3203125,19804.720703125,19890.29248046875,20004.276300392605,20001.554109476554
2017-01-20,19827.25,435260000,19815.37421875,19875.391015625,20003.65750605416,19747.124525195835,29.94665926679616,19840.913321099004,19757.28702304234,83.62629805666437,132.82058635941604,-49.19428830275166,0.480679529592678,-0.003674180020045459,-0.2278315257060916,-0.2530389216637192,0.3333333333333333,0.4166666666666667,59.01060965419449,42.748367106212925,14.249455702070938,-0.27416972273875795,94.849609375,19732.400390625,19882.75947265625,20015.954249626186,20004.276300392605
