Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BIAS_24_L1
2016-01-04,8114.259765625,1717400.0,8276.9419921875,8259.89658203125,8469.111559124174,8050.681604938324,24.002542432276325,8274.915567332884,8308.061674658165,-33.146107325281264,-35.662701904055034,2.5165945787737702,-2.6840753870880807,-2.1356272597538517,-2.178857794123382,-2.1264445187735057,0.5833333333333334,0.4583333333333333,85.8898205892111,0.0,30.37140822951921,-0.8601504434028406,-223.7998046875,8338.0595703125,0.4688170329201831
2016-01-05,8075.10986328125,1710600.0,8220.26591796875,8240.938598632812,8444.914929880997,8036.962267384629,14.362609824582588,8244.176228248018,8290.805984926543,-46.629756678525155,-37.85611285894906,-8.773643819576094,-0.4824827337868013,-2.0403645790013627,-2.4110613061335107,-2.4082694671446485,0.5,0.4166666666666667,100.0,0.0,23.23980818159427,-2.939540401124876,-39.14990234375,8114.259765625,-2.1264445187735057
2016-01-06,7990.39013671875,2040600.0,8159.5619140625,8223.265087890624,8448.638690359889,7997.89148542136,11.99188078098578,8205.132214166591,8268.55295913337,-63.420744966781065,-42.96903928051546,-20.4517056862656,-1.049146426449669,-2.3412887400399973,-3.1746219895905803,-3.204516817608848,0.5,0.4166666666666667,100.0,0.0,0.0,-3.232648918525891,-84.7197265625,8075.10986328125,-2.4082694671446485
2016-01-07,7852.06005859375,2544700.0,8073.97587890625,8204.387084960938,8481.728575162144,7927.045594759731,10.406900480502923,8150.81342100154,8237.701633167475,-86.88821216593624,-51.752873857599624,-35.13533830833662,-1.7312055576525975,-3.160356418365832,-4.4358047811586205,-4.589368708980494,0.4166666666666667,0.4166666666666667,100.0,0.0,0.0,-5.193202594711767,-138.330078125,7990.39013671875,-3.204516817608848
2016-01-08,7893.97021484375,1875700.0,7985.1580078125,8188.277099609375,8496.699108027171,7879.85509119158,17.06195811130045,8111.299081592648,8212.240046624976,-100.94096503232868,-61.59049209254543,-39.35047293978325,0.5337472706176145,-1.8648083971687008,-3.5355939804152205,-3.8344233238440566,0.4166666666666667,0.4583333333333333,91.80193681057597,8.27560407223895,2.7585346907462456,-4.80866406351753,41.91015625,7852.06005859375,-4.589368708980494
2016-01-11,7788.419921875,1949300.0,7919.9900390625,8171.903588867188,8525.430031864278,7818.377145870098,6.616070286111588,8061.625364713009,8180.845963310164,-119.22059859715411,-73.11651339346716,-46.104085203686935,-1.3371002182181304,-2.0616299221821466,-4.311623341587577,-4.798492840738351,0.3333333333333333,0.4166666666666667,100.0,0.0,2.7585346907462456,-6.340780223591082,-105.55029296875,7893.97021484375,-3.8344233238440566
2016-01-12,7768.4501953125,2027700.0,7858.65810546875,8158.318090820312,8549.887171080853,7766.749010559772,9.754944413000837,8016.521492497548,8150.298128643671,-133.77663614612266,-85.24853794399827,-48.5280982021244,-0.25640279752266426,-1.5995879373202588,-4.010639456618496,-4.763489350464941,0.25,0.4166666666666667,100.0,0.0,2.7585346907462456,-6.678112584898543,-19.9697265625,7788.419921875,-4.798492840738351
2016-01-13,7824.60986328125,1698800.0,7825.50205078125,8145.881079101562,8562.457544863983,7729.304613339142,21.957258958498684,7986.996626464272,8126.1730719501575,-139.17644548588672,-96.03411945237595,-43.14232603351074,0.7229198431707379,-0.3613089919672497,-2.7774541058761453,-3.876142226356216,0.25,0.4583333333333333,90.55870406792906,9.859329995885338,3.286443331961708,-6.440898696975559,56.15966796875,7768.4501953125,-4.763489350464941
2016-01-14,7742.8798828125,1809100.0,7803.666015625,8123.792065429688,8575.195967943031,7672.388162916345,22.105228402093342,7949.4402043639975,8097.780983865888,-148.34077950188842,-106.49545146227844,-41.84532803960995,-1.0445246714764196,-0.8813898041785547,-3.175786019995956,-4.649181194974523,0.25,0.4583333333333333,100.0,0.0,3.286443331961708,-7.365090277078393,-81.72998046875,7824.60986328125,-3.876142226356216
2016-01-15,7762.009765625,1991800.0,7777.27392578125,8095.9090576171875,8564.053580459098,7627.764534775279,36.12261145298604,7920.604752250307,8072.909041773968,-152.3042895236622,-115.6572190745552,-36.647070449107005,0.2470641815710477,-0.44523244314957416,-2.395564567854467,-4.239722312835235,0.3333333333333333,0.5,96.89253392767912,5.758024241373178,5.205784745752768,-6.413143868265543,19.1298828125,7742.8798828125,-4.649181194974523
2016-01-18,7811.18017578125,1942500.0,7781.8259765625,8073.60205078125,8551.275864843425,7595.928236719074,37.52071857768253,7903.770202024298,8053.521718367101,-149.75151634280337,-122.47607852820481,-27.27543781459855,0.6334752421210176,0.3630409961744516,-1.292353853523522,-3.5195416657191814,0.4166666666666667,0.5416666666666666,88.52442474042766,27.59493471111716,11.117652984163373,-5.6619639072453225,49.17041015625,7762.009765625,-4.239722312835235
2016-01-19,7854.8798828125,1581200.0,7799.1119140625,8052.237548828125,8528.90752989213,7575.56756776412,62.31381361820392,7896.248614453252,8038.807508326019,-142.5588938727669,-126.49264159711723,-16.066252275649692,0.5594507622131414,0.7810911277298087,-0.2324992293972555,-2.870572988692235,0.4166666666666667,0.5416666666666666,81.18215349881207,74.12784027560086,35.82693307603032,-5.794869698704862,43.69970703125,7811.18017578125,-3.5195416657191814
