index,Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG
1,2012-01-03,12397.3798828125,152560000,12268.9478515625,12097.3634765625,12444.192032612893,11750.534920512106,67.46739773638046,12175.45649054076,12054.89511358128,120.56137695948019,94.81575488033285,25.74562207914734,1.4718185859060278,1.0124291189347157,2.231558248173426,2.7449642548849638,0.5833333333333334,0.5416666666666666,0.0,100.0,94.73223218592436,4.85389573382679,179.8203125,12217.5595703125
2,2012-01-04,12418.419921875,145130000,12294.3619140625,12113.39296875,12488.770913199509,11738.015024300492,61.340582419186575,12212.835479976799,12081.822877159178,131.01260281762006,102.05512446779031,28.957478349829756,0.16971359481909176,1.0131891853247847,2.0197467144533245,2.6136124547414035,0.5833333333333334,0.5416666666666666,0.0,100.0,95.1718399376271,4.630711684322938,21.0400390625,12397.3798828125
3,2012-01-05,12415.7001953125,158440000,12347.219921875,12126.671484375,12525.572483683407,11727.770485066592,61.33283018599245,12244.04543618229,12106.55453035622,137.49090582607096,109.14228073944645,28.34862508662451,-0.021900745663377127,0.8211014394374049,1.6152714832761743,2.460609372971582,0.5833333333333334,0.5,0.4170335363844914,98.98141307448668,99.66047102482885,4.629129525907065,-2.7197265625,12418.419921875
4,2012-01-06,12359.919921875,131120000,12361.7958984375,12134.848974609375,12546.275003436585,11723.422945782164,72.44595452653179,12261.872280135014,12125.322337135738,136.54994299927603,114.62381319141235,21.926129807863674,-0.4492720713291678,0.08569961031877361,0.7508055888121864,1.8812113303760232,0.5833333333333334,0.5,8.970189214928752,78.09068898170567,92.35736735206409,5.045444925365082,-55.7802734375,12415.7001953125
5,2012-01-09,12392.6904296875,122200000,12396.8220703125,12154.598486328125,12576.102211906993,11733.094760749256,64.6082799967593,12281.998149296935,12145.127381028804,136.87076826813063,119.073204206756,17.79756406137463,0.2651352761153546,0.20817948762156413,0.8199331198086075,2.020543165634197,0.5833333333333334,0.5416666666666666,3.945272022665061,90.36383851831262,89.14531352483495,2.388635012916665,32.7705078125,12359.919921875
6,2012-01-10,12462.4697265625,141230000,12409.8400390625,12168.508984375,12611.927635472606,11725.090333277392,83.83576725059095,12309.76300733779,12168.634221439082,141.12878589870706,123.48432054514623,17.644465353560832,0.563068183385257,0.44090444571872484,1.1443760694246996,2.46682677169545,0.5833333333333334,0.5416666666666666,0.0,100.0,89.48484250000605,2.9297745518225606,69.779296875,12392.6904296875
7,2012-01-11,12449.4501953125,130260000,12416.04609375,12189.91201171875,12644.610882361405,11735.213141076096,63.34387763273804,12331.253343949284,12189.435404689273,141.81793926001046,127.1510442881191,14.666894971891367,-0.10446991275132392,0.26584479076002066,0.8478701415579777,2.2549249582178175,0.5,0.5,3.6702703149131573,94.68395617015169,95.0159315628214,2.29916058149909,-13.01953125,12462.4697265625
8,2012-01-12,12471.01953125,128230000,12427.1099609375,12215.715966796875,12672.837500860876,11758.594432732874,63.44305010632244,12352.75583430324,12210.2934881385,142.46234616473885,130.21330466344307,12.249041501295778,0.17325532934475568,0.3686956120789341,0.9020197044318807,2.335897159600464,0.5,0.5,0.0,100.0,98.22798539005053,1.439885564096307,21.5693359375,12449.4501953125
9,2012-01-13,12422.0595703125,161470000,12439.537890625,12245.644921875,12671.981732153163,11819.308111596838,51.314578252935185,12363.417947535432,12225.979864596035,137.43808293939765,131.65826031863398,5.779822620763667,-0.39258988260595423,-0.033869048829057044,0.41739041789446607,1.7864510376569014,0.5,0.5,15.318687362503056,55.9314733751736,83.5384765151084,1.0634305026829878,-48.9599609375,12471.01953125
10,2012-01-17,12482.0703125,148670000,12457.4138671875,12276.307958984375,12675.903084683214,11876.712833285535,74.81628150593613,12381.672157529982,12244.94952740396,136.7226301260216,132.67113428011152,4.051495845910097,0.48309816780238096,0.28476539030444464,0.678245113481454,2.1742911720368965,0.5833333333333334,0.5,0.0,100.0,85.31049112505782,2.7211669427513074,60.0107421875,12422.0595703125
